date;Michael Gove;United Arab Emirates;Jeremy Kyle;Jamaica;air travel;isPartial
2022-01-02;2;2;3;62;9;False
2022-01-09;10;2;3;56;10;False
2022-01-16;3;2;3;55;8;False
2022-01-23;3;2;3;59;9;False
2022-01-30;10;2;4;60;10;False
2022-02-06;4;2;3;59;10;False
2022-02-13;2;2;3;59;10;False
2022-02-20;2;2;3;59;10;False
2022-02-27;2;2;3;52;9;False
2022-03-06;2;2;14;53;9;False
2022-03-13;6;3;100;55;9;False
2022-03-20;3;2;13;89;9;False
2022-03-27;2;2;13;66;10;False
2022-04-03;2;2;8;56;9;False
2022-04-10;2;2;5;51;8;False
2022-04-17;2;2;5;49;8;False
2022-04-24;2;2;19;48;9;False
2022-05-01;2;2;5;54;9;False
2022-05-08;21;2;5;58;9;False
2022-05-15;3;2;4;51;9;False
2022-05-22;3;2;4;52;9;False
2022-05-29;2;2;3;49;9;False
2022-06-05;4;3;3;52;10;False
2022-06-12;2;2;4;54;9;False
2022-06-19;2;2;3;52;8;False
2022-06-26;2;2;5;48;9;False
2022-07-03;56;1;4;49;9;False
2022-07-10;7;2;2;52;10;False
2022-07-17;3;2;3;54;9;False
2022-07-24;2;2;3;56;9;False
2022-07-31;1;2;5;76;8;False
2022-08-07;1;2;9;63;8;False
2022-08-14;7;2;4;47;8;False
2022-08-21;2;2;4;52;7;False
2022-08-28;7;2;4;52;8;False
2022-09-04;2;2;4;47;8;False
2022-09-11;1;2;4;50;7;False
2022-09-18;1;2;12;48;7;False
2022-09-25;2;2;13;52;7;False
2022-10-02;8;2;5;47;7;False
2022-10-09;3;2;7;44;6;False
2022-10-16;4;2;4;48;6;False
2022-10-23;11;2;4;44;5;False
2022-10-30;4;1;3;44;5;False
2022-11-06;1;2;3;43;6;False
2022-11-13;2;3;3;41;5;False
2022-11-20;4;4;3;39;6;False
2022-11-27;2;2;2;39;6;False
2022-12-04;4;1;3;37;5;False
2022-12-11;2;2;3;37;5;False
2022-12-18;1;1;3;41;5;False
2022-12-25;1;2;3;47;7;False
2023-01-01;1;2;3;62;8;False
2023-01-08;2;2;3;55;7;False
2023-01-15;3;2;4;56;7;False
2023-01-22;2;2;8;45;7;False
2023-01-29;6;2;3;44;7;False
