date;Romance books;Velvet Underground;Lenny Henry;Jared Kushner;air travel;isPartial
2023-01-01;41;0;49;0;76;False
2023-01-02;32;0;33;0;90;False
2023-01-03;22;0;26;0;59;False
2023-01-04;28;9;28;0;89;False
2023-01-05;21;6;31;0;73;False
2023-01-06;29;12;21;0;73;False
2023-01-07;29;22;42;0;53;False
2023-01-08;38;14;52;8;84;False
2023-01-09;29;8;23;0;50;False
2023-01-10;26;27;31;10;79;False
2023-01-11;43;12;13;0;90;False
2023-01-12;16;0;37;0;75;False
2023-01-13;39;8;12;0;60;False
2023-01-14;19;9;28;0;56;False
2023-01-15;22;9;29;5;66;False
2023-01-16;17;0;22;0;68;False
2023-01-17;18;14;13;0;56;False
2023-01-18;23;14;21;6;80;False
2023-01-19;18;0;26;0;73;False
2023-01-20;26;5;19;7;59;False
2023-01-21;29;38;10;0;63;False
2023-01-22;22;19;22;5;70;False
2023-01-23;27;11;0;0;72;False
2023-01-24;27;6;10;0;55;False
2023-01-25;42;10;12;0;75;False
2023-01-26;22;11;20;0;68;False
2023-01-27;30;22;19;0;47;False
2023-01-28;39;12;22;0;66;False
2023-01-29;30;14;17;0;60;False
2023-01-30;28;6;29;0;100;False
2023-01-31;24;19;17;0;84;False
