date;Booksellers;Conflict and arms;Energy research;Yorkshire holidays;air travel;isPartial
2022-01-02;4;0;7;41;87;False
2022-01-09;5;0;5;31;100;False
2022-01-16;4;0;3;31;74;False
2022-01-23;7;0;6;29;82;False
2022-01-30;4;0;10;23;93;False
2022-02-06;5;0;4;29;93;False
2022-02-13;5;0;4;27;94;False
2022-02-20;2;0;8;25;95;False
2022-02-27;3;0;6;21;83;False
2022-03-06;2;0;6;27;88;False
2022-03-13;3;0;7;20;87;False
2022-03-20;5;0;7;22;85;False
2022-03-27;4;0;6;26;90;False
2022-04-03;3;0;5;31;82;False
2022-04-10;3;0;6;27;71;False
2022-04-17;4;0;8;24;79;False
2022-04-24;3;0;9;24;82;False
2022-05-01;0;0;7;27;84;False
2022-05-08;3;0;6;23;87;False
2022-05-15;1;0;4;23;90;False
2022-05-22;3;0;6;23;85;False
2022-05-29;4;0;4;27;87;False
2022-06-05;2;0;5;22;97;False
2022-06-12;4;0;5;16;85;False
2022-06-19;3;0;6;26;79;False
2022-06-26;1;0;6;24;85;False
2022-07-03;4;0;3;26;89;False
2022-07-10;1;0;3;31;92;False
2022-07-17;4;0;6;27;88;False
2022-07-24;4;0;3;31;87;False
2022-07-31;3;0;5;29;78;False
2022-08-07;4;0;7;30;76;False
2022-08-14;2;0;5;23;75;False
2022-08-21;3;0;7;27;65;False
2022-08-28;5;0;8;26;72;False
2022-09-04;4;0;8;18;77;False
2022-09-11;5;0;5;22;67;False
2022-09-18;4;0;7;24;66;False
2022-09-25;4;0;7;19;66;False
2022-10-02;4;0;7;19;63;False
2022-10-09;3;0;8;23;62;False
2022-10-16;4;0;7;16;55;False
2022-10-23;2;0;7;15;52;False
2022-10-30;4;0;7;15;51;False
2022-11-06;4;0;8;16;58;False
2022-11-13;3;0;8;12;48;False
2022-11-20;2;0;7;12;60;False
2022-11-27;3;0;5;14;59;False
2022-12-04;2;0;5;11;50;False
2022-12-11;4;0;7;13;52;False
2022-12-18;4;0;2;15;48;False
2022-12-25;1;0;3;28;64;False
2023-01-01;3;0;6;33;74;False
2023-01-08;4;0;4;30;69;False
2023-01-15;4;0;5;24;67;False
2023-01-22;5;0;9;27;62;False
2023-01-29;4;0;7;25;67;False
