date;Sex;Rentokil Initial;Indigenous voice to parliament;Unesco;air travel;isPartial
2022-01-02;96;0;0;0;1;False
2022-01-09;94;0;0;0;1;False
2022-01-16;83;0;0;0;1;False
2022-01-23;90;0;0;0;1;False
2022-01-30;96;0;0;0;1;False
2022-02-06;88;0;0;0;1;False
2022-02-13;86;0;0;0;1;False
2022-02-20;88;0;0;0;1;False
2022-02-27;87;0;0;0;1;False
2022-03-06;83;0;0;0;1;False
2022-03-13;90;0;0;0;1;False
2022-03-20;84;0;0;0;1;False
2022-03-27;92;0;0;0;1;False
2022-04-03;82;0;0;0;1;False
2022-04-10;91;0;0;0;1;False
2022-04-17;83;0;0;0;1;False
2022-04-24;77;0;0;0;1;False
2022-05-01;88;0;0;0;1;False
2022-05-08;90;0;0;0;1;False
2022-05-15;85;0;0;0;1;False
2022-05-22;82;0;0;0;1;False
2022-05-29;94;0;0;0;1;False
2022-06-05;100;0;0;0;1;False
2022-06-12;93;0;0;0;1;False
2022-06-19;84;0;0;0;1;False
2022-06-26;84;0;0;0;1;False
2022-07-03;85;0;0;0;1;False
2022-07-10;93;0;0;0;1;False
2022-07-17;87;0;0;0;1;False
2022-07-24;80;0;0;0;1;False
2022-07-31;86;0;0;0;1;False
2022-08-07;88;0;0;0;1;False
2022-08-14;84;0;0;0;1;False
2022-08-21;78;0;0;0;1;False
2022-08-28;87;0;0;0;1;False
2022-09-04;80;0;0;0;1;False
2022-09-11;86;0;0;0;1;False
2022-09-18;86;0;0;0;1;False
2022-09-25;79;0;0;0;1;False
2022-10-02;79;0;0;0;1;False
2022-10-09;81;0;0;0;1;False
2022-10-16;82;0;0;0;1;False
2022-10-23;83;0;0;0;1;False
2022-10-30;78;0;0;0;1;False
2022-11-06;80;0;0;0;1;False
2022-11-13;76;0;0;0;1;False
2022-11-20;71;0;0;0;1;False
2022-11-27;74;0;0;1;1;False
2022-12-04;76;0;0;0;1;False
2022-12-11;79;0;0;0;1;False
2022-12-18;80;0;0;0;1;False
2022-12-25;88;0;0;0;1;False
2023-01-01;81;0;0;0;1;False
2023-01-08;77;0;0;0;1;False
2023-01-15;84;0;0;0;1;False
2023-01-22;77;0;0;0;1;False
2023-01-29;82;0;0;0;1;False
