date;ITV channel;Comoros;Watergate;North Korea;air travel;isPartial
2023-01-01;44;4;16;100;30;False
2023-01-02;39;0;21;81;36;False
2023-01-03;20;3;24;57;23;False
2023-01-04;22;6;14;31;35;False
2023-01-05;21;3;22;24;29;False
2023-01-06;44;3;17;28;29;False
2023-01-07;74;0;25;47;21;False
2023-01-08;36;4;19;37;33;False
2023-01-09;43;3;23;36;20;False
2023-01-10;26;3;21;26;31;False
2023-01-11;25;6;11;37;36;False
2023-01-12;17;2;13;42;30;False
2023-01-13;16;4;18;36;24;False
2023-01-14;26;0;22;44;22;False
2023-01-15;28;0;15;30;26;False
2023-01-16;42;0;15;22;27;False
2023-01-17;33;0;18;28;22;False
2023-01-18;27;0;17;33;32;False
2023-01-19;15;3;16;22;29;False
2023-01-20;17;0;19;31;23;False
2023-01-21;44;3;15;39;25;False
2023-01-22;34;0;29;37;28;False
2023-01-23;23;2;14;27;28;False
2023-01-24;26;0;16;36;22;False
2023-01-25;21;4;10;31;30;False
2023-01-26;25;2;19;28;27;False
2023-01-27;37;8;16;37;19;False
2023-01-28;64;0;20;37;26;False
2023-01-29;39;0;29;37;24;False
2023-01-30;29;5;18;31;40;False
2023-01-31;33;0;15;36;33;False
