date;Unemployment;University of Liverpool;Oscar Niemeyer;Sustainable development;air travel;isPartial
2023-01-01;26;23;7;0;66;False
2023-01-02;66;30;0;27;78;False
2023-01-03;52;49;0;29;50;False
2023-01-04;84;59;0;20;76;False
2023-01-05;69;52;0;28;63;False
2023-01-06;68;35;0;24;63;False
2023-01-07;40;33;0;24;46;False
2023-01-08;67;42;5;18;73;False
2023-01-09;77;82;9;69;43;False
2023-01-10;80;82;0;39;68;False
2023-01-11;85;73;9;35;77;False
2023-01-12;86;56;0;44;64;False
2023-01-13;89;80;0;43;51;False
2023-01-14;54;39;0;29;48;False
2023-01-15;66;33;6;32;57;False
2023-01-16;96;62;0;66;59;False
2023-01-17;100;63;0;32;48;False
2023-01-18;98;48;0;35;69;False
2023-01-19;70;57;0;47;63;False
2023-01-20;64;71;0;32;51;False
2023-01-21;47;30;0;17;54;False
2023-01-22;65;38;0;15;60;False
2023-01-23;94;82;7;43;62;False
2023-01-24;94;49;0;43;47;False
2023-01-25;81;60;0;39;65;False
2023-01-26;81;57;0;46;58;False
2023-01-27;79;44;7;24;40;False
2023-01-28;44;45;0;20;57;False
2023-01-29;54;26;12;14;52;False
2023-01-30;82;58;0;37;86;False
2023-01-31;84;70;0;43;72;False
