date;Mountaineering;Pixar;Birdwatching;Internet, phones & broadband;air travel;isPartial
2022-01-02;25;55;8;0;64;False
2022-01-09;23;61;5;0;70;False
2022-01-16;17;52;7;0;55;False
2022-01-23;25;59;6;0;61;False
2022-01-30;19;56;6;0;69;False
2022-02-06;18;60;6;0;69;False
2022-02-13;18;58;6;0;69;False
2022-02-20;19;57;6;0;70;False
2022-02-27;16;60;6;0;62;False
2022-03-06;16;94;6;0;65;False
2022-03-13;15;100;6;0;64;False
2022-03-20;16;71;6;0;63;False
2022-03-27;16;61;5;0;67;False
2022-04-03;14;58;5;0;61;False
2022-04-10;13;54;7;0;53;False
2022-04-17;13;53;6;0;59;False
2022-04-24;13;47;5;0;60;False
2022-05-01;16;60;5;0;62;False
2022-05-08;11;45;5;0;64;False
2022-05-15;12;53;5;0;67;False
2022-05-22;16;50;3;0;63;False
2022-05-29;10;55;8;0;64;False
2022-06-05;13;52;4;0;72;False
2022-06-12;12;62;5;0;63;False
2022-06-19;14;63;6;0;58;False
2022-06-26;13;52;3;0;63;False
2022-07-03;12;47;4;0;66;False
2022-07-10;11;49;4;0;68;False
2022-07-17;14;50;3;0;65;False
2022-07-24;12;50;5;0;64;False
2022-07-31;15;49;5;0;58;False
2022-08-07;12;46;4;0;56;False
2022-08-14;16;46;3;0;55;False
2022-08-21;10;44;3;0;48;False
2022-08-28;13;42;6;0;53;False
2022-09-04;12;50;4;0;57;False
2022-09-11;12;61;5;0;50;False
2022-09-18;11;48;6;0;47;False
2022-09-25;19;54;5;0;49;False
2022-10-02;15;49;6;0;47;False
2022-10-09;17;51;6;0;45;False
2022-10-16;15;44;6;0;41;False
2022-10-23;14;53;5;0;38;False
2022-10-30;14;53;6;0;38;False
2022-11-06;14;48;4;0;42;False
2022-11-13;13;62;6;0;36;False
2022-11-20;17;52;3;0;45;False
2022-11-27;18;50;3;0;44;False
2022-12-04;16;46;4;0;37;False
2022-12-11;16;52;7;0;38;False
2022-12-18;16;54;5;0;36;False
2022-12-25;18;61;7;0;47;False
2023-01-01;21;45;5;0;55;False
2023-01-08;16;43;4;0;51;False
2023-01-15;18;50;5;0;49;False
2023-01-22;16;49;8;0;46;False
2023-01-29;17;50;7;0;49;False
