date;Roberto Martínez;Whitbread;Australian Open 2023;Super Mario;air travel;isPartial
2022-01-02;0;5;0;22;9;False
2022-01-09;0;6;0;17;10;False
2022-01-16;0;5;0;17;7;False
2022-01-23;0;6;0;16;8;False
2022-01-30;0;5;0;16;9;False
2022-02-06;0;6;0;15;9;False
2022-02-13;0;6;0;18;9;False
2022-02-20;0;6;0;17;10;False
2022-02-27;0;6;0;14;8;False
2022-03-06;0;6;0;17;9;False
2022-03-13;0;6;0;15;9;False
2022-03-20;0;6;0;15;8;False
2022-03-27;0;6;0;14;9;False
2022-04-03;0;5;0;16;8;False
2022-04-10;0;5;0;16;7;False
2022-04-17;0;5;0;15;8;False
2022-04-24;0;6;0;12;8;False
2022-05-01;0;4;0;14;8;False
2022-05-08;0;6;0;13;9;False
2022-05-15;0;6;0;13;9;False
2022-05-22;0;5;0;13;9;False
2022-05-29;0;5;0;14;9;False
2022-06-05;0;6;0;13;10;False
2022-06-12;0;6;0;12;8;False
2022-06-19;0;5;0;13;8;False
2022-06-26;0;6;0;12;8;False
2022-07-03;0;5;0;12;9;False
2022-07-10;0;5;0;14;9;False
2022-07-17;0;6;0;13;9;False
2022-07-24;0;6;0;14;9;False
2022-07-31;0;5;0;13;8;False
2022-08-07;0;5;0;15;8;False
2022-08-14;0;5;0;13;7;False
2022-08-21;0;6;0;15;7;False
2022-08-28;0;5;0;14;7;False
2022-09-04;0;34;0;12;8;False
2022-09-11;0;11;0;13;7;False
2022-09-18;0;8;0;13;6;False
2022-09-25;0;10;0;13;7;False
2022-10-02;0;9;0;35;6;False
2022-10-09;0;7;0;21;6;False
2022-10-16;0;6;0;18;6;False
2022-10-23;0;7;0;17;5;False
2022-10-30;0;6;0;17;5;False
2022-11-06;0;6;0;17;6;False
2022-11-13;0;6;0;18;5;False
2022-11-20;0;5;0;19;6;False
2022-11-27;0;6;0;27;6;False
2022-12-04;0;5;0;22;5;False
2022-12-11;0;5;0;21;5;False
2022-12-18;0;5;1;21;5;False
2022-12-25;0;4;2;27;6;False
2023-01-01;0;6;5;23;7;False
2023-01-08;0;6;11;20;7;False
2023-01-15;0;6;100;21;7;False
2023-01-22;0;7;64;20;6;False
2023-01-29;0;6;15;20;7;False
