date;congress;Miriam Margolyes;norfolk;Paul Rudd;air travel;isPartial
2022-01-02;4;3;70;4;5;False
2022-01-09;5;2;73;4;5;False
2022-01-16;5;2;72;3;4;False
2022-01-23;5;1;66;3;5;False
2022-01-30;5;2;74;2;5;False
2022-02-06;5;1;66;2;5;False
2022-02-13;5;1;67;2;5;False
2022-02-20;5;1;75;3;5;False
2022-02-27;6;2;65;3;5;False
2022-03-06;6;2;66;3;5;False
2022-03-13;7;1;70;3;5;False
2022-03-20;5;1;73;3;5;False
2022-03-27;5;1;62;3;5;False
2022-04-03;5;1;73;3;5;False
2022-04-10;4;1;78;3;4;False
2022-04-17;4;2;68;2;5;False
2022-04-24;5;5;74;2;5;False
2022-05-01;5;1;86;2;5;False
2022-05-08;6;2;76;2;5;False
2022-05-15;6;2;76;2;5;False
2022-05-22;5;1;71;3;5;False
2022-05-29;5;1;83;2;5;False
2022-06-05;5;2;78;2;6;False
2022-06-12;6;1;80;2;5;False
2022-06-19;5;1;88;2;4;False
2022-06-26;5;1;88;1;5;False
2022-07-03;4;6;77;3;5;False
2022-07-10;5;5;90;2;5;False
2022-07-17;4;4;95;2;5;False
2022-07-24;4;3;97;2;5;False
2022-07-31;4;2;86;2;4;False
2022-08-07;4;2;100;3;4;False
2022-08-14;4;2;82;2;4;False
2022-08-21;5;2;85;3;4;False
2022-08-28;5;2;81;2;4;False
2022-09-04;5;2;75;2;4;False
2022-09-11;5;1;77;3;4;False
2022-09-18;5;1;71;2;4;False
2022-09-25;6;1;72;2;4;False
2022-10-02;5;1;70;2;4;False
2022-10-09;6;16;62;2;3;False
2022-10-16;7;8;63;2;3;False
2022-10-23;5;2;61;3;3;False
2022-10-30;6;2;57;2;3;False
2022-11-06;10;6;57;2;3;False
2022-11-13;8;5;55;2;3;False
2022-11-20;5;3;51;1;3;False
2022-11-27;5;8;53;2;3;False
2022-12-04;5;3;46;2;3;False
2022-12-11;4;3;50;2;3;False
2022-12-18;5;6;46;2;3;False
2022-12-25;3;10;55;3;4;False
2023-01-01;7;7;65;2;4;False
2023-01-08;6;6;65;3;4;False
2023-01-15;6;3;65;2;4;False
2023-01-22;5;2;64;2;4;False
2023-01-29;6;2;64;3;4;False
