date;Brett Kavanaugh;Bee Gees;Coal seam gas;buffalo shooting;air travel;isPartial
2022-01-02;1;11;0;0;20;False
2022-01-09;0;11;0;0;23;False
2022-01-16;1;11;0;0;17;False
2022-01-23;1;11;0;0;19;False
2022-01-30;0;10;0;0;22;False
2022-02-06;1;10;0;0;22;False
2022-02-13;1;10;0;0;22;False
2022-02-20;0;10;0;0;22;False
2022-02-27;0;20;0;0;20;False
2022-03-06;0;11;0;0;21;False
2022-03-13;1;10;0;0;20;False
2022-03-20;1;11;0;0;20;False
2022-03-27;0;10;0;0;21;False
2022-04-03;1;8;0;0;19;False
2022-04-10;0;14;0;0;17;False
2022-04-17;0;10;0;0;19;False
2022-04-24;0;10;0;0;19;False
2022-05-01;2;11;0;0;20;False
2022-05-08;1;16;0;5;20;False
2022-05-15;1;15;0;100;21;False
2022-05-22;0;15;0;13;20;False
2022-05-29;1;14;0;4;20;False
2022-06-05;3;13;0;2;23;False
2022-06-12;1;10;0;1;20;False
2022-06-19;4;13;0;0;18;False
2022-06-26;7;10;0;1;20;False
2022-07-03;1;25;0;1;21;False
2022-07-10;1;12;0;1;22;False
2022-07-17;0;12;0;1;21;False
2022-07-24;0;12;0;1;20;False
2022-07-31;0;13;0;1;18;False
2022-08-07;0;10;0;1;18;False
2022-08-14;0;10;0;0;18;False
2022-08-21;0;20;0;0;15;False
2022-08-28;0;16;0;0;17;False
2022-09-04;1;10;0;0;18;False
2022-09-11;0;10;0;0;16;False
2022-09-18;0;11;0;0;15;False
2022-09-25;0;15;0;0;16;False
2022-10-02;0;11;0;0;15;False
2022-10-09;0;10;0;0;15;False
2022-10-16;0;9;0;0;13;False
2022-10-23;1;13;0;0;12;False
2022-10-30;0;12;0;0;12;False
2022-11-06;0;10;0;0;14;False
2022-11-13;0;18;0;0;11;False
2022-11-20;0;9;0;0;14;False
2022-11-27;0;9;0;0;14;False
2022-12-04;0;7;0;0;12;False
2022-12-11;0;10;0;0;12;False
2022-12-18;0;8;0;0;11;False
2022-12-25;0;29;0;0;15;False
2023-01-01;0;11;0;0;17;False
2023-01-08;0;15;0;0;16;False
2023-01-15;1;11;0;0;16;False
2023-01-22;0;15;0;0;14;False
2023-01-29;0;11;0;0;16;False
