date;Gordon Brown;ministry of defence;Jair Bolsonaro;Jeffrey Eugenides;air travel;isPartial
2022-01-02;21;10;3;1;57;False
2022-01-09;24;14;2;1;66;False
2022-01-16;22;10;0;1;49;False
2022-01-23;28;15;0;0;54;False
2022-01-30;28;12;1;0;62;False
2022-02-06;14;14;0;1;61;False
2022-02-13;14;17;0;0;62;False
2022-02-20;18;37;1;0;63;False
2022-02-27;20;24;2;0;55;False
2022-03-06;22;20;1;0;58;False
2022-03-13;46;19;2;0;57;False
2022-03-20;25;15;1;0;56;False
2022-03-27;20;14;1;0;59;False
2022-04-03;17;15;1;1;55;False
2022-04-10;16;12;1;1;47;False
2022-04-17;13;12;0;0;52;False
2022-04-24;13;16;1;1;54;False
2022-05-01;18;15;2;1;56;False
2022-05-08;17;17;0;0;57;False
2022-05-15;16;13;1;0;59;False
2022-05-22;16;15;2;1;56;False
2022-05-29;14;13;0;0;57;False
2022-06-05;23;12;3;0;64;False
2022-06-12;19;10;2;0;57;False
2022-06-19;26;12;0;0;52;False
2022-06-26;22;15;1;0;56;False
2022-07-03;59;12;1;0;59;False
2022-07-10;26;14;0;0;61;False
2022-07-17;26;13;1;1;58;False
2022-07-24;22;14;1;0;57;False
2022-07-31;25;12;0;0;51;False
2022-08-07;100;12;0;0;50;False
2022-08-14;22;11;1;0;49;False
2022-08-21;17;13;4;0;43;False
2022-08-28;24;10;0;0;47;False
2022-09-04;81;11;4;0;51;False
2022-09-11;42;16;6;0;44;False
2022-09-18;58;18;7;0;43;False
2022-09-25;30;11;3;0;44;False
2022-10-02;47;12;8;0;42;False
2022-10-09;31;13;1;1;41;False
2022-10-16;58;13;4;1;37;False
2022-10-23;51;16;3;1;34;False
2022-10-30;25;14;25;0;34;False
2022-11-06;26;15;2;0;38;False
2022-11-13;25;14;2;0;32;False
2022-11-20;15;12;2;0;40;False
2022-11-27;13;13;1;0;39;False
2022-12-04;52;11;3;0;33;False
2022-12-11;14;12;3;0;34;False
2022-12-18;15;10;1;0;32;False
2022-12-25;15;9;2;0;42;False
2023-01-01;15;12;14;0;49;False
2023-01-08;12;14;23;0;45;False
2023-01-15;14;12;1;0;44;False
2023-01-22;17;16;2;0;41;False
2023-01-29;17;17;0;0;44;False
