date;Kirstie Allsopp;Female genital mutilation (FGM);Trade unions;conservatives;air travel;isPartial
2022-01-02;5;0;6;9;39;False
2022-01-09;2;1;4;25;43;False
2022-01-16;4;1;6;21;34;False
2022-01-23;4;1;5;17;37;False
2022-01-30;4;0;4;18;42;False
2022-02-06;100;1;5;14;42;False
2022-02-13;9;0;3;11;42;False
2022-02-20;10;0;4;13;43;False
2022-02-27;6;0;4;12;38;False
2022-03-06;6;0;5;14;40;False
2022-03-13;4;0;6;13;39;False
2022-03-20;5;0;5;12;38;False
2022-03-27;2;1;5;18;41;False
2022-04-03;5;0;5;16;37;False
2022-04-10;9;0;4;19;32;False
2022-04-17;3;0;4;21;36;False
2022-04-24;1;0;6;21;37;False
2022-05-01;3;0;7;54;38;False
2022-05-08;2;0;7;21;39;False
2022-05-15;3;1;6;18;41;False
2022-05-22;5;1;7;21;39;False
2022-05-29;18;0;2;10;39;False
2022-06-05;9;0;7;20;44;False
2022-06-12;6;0;4;13;38;False
2022-06-19;2;1;10;16;36;False
2022-06-26;9;1;5;12;38;False
2022-07-03;4;0;3;42;40;False
2022-07-10;4;0;3;36;42;False
2022-07-17;4;0;2;32;40;False
2022-07-24;4;1;6;18;39;False
2022-07-31;2;0;4;15;35;False
2022-08-07;1;0;2;14;34;False
2022-08-14;3;0;3;10;34;False
2022-08-21;4;0;5;12;29;False
2022-08-28;2;0;3;10;32;False
2022-09-04;1;0;4;26;35;False
2022-09-11;3;0;6;10;30;False
2022-09-18;4;0;4;13;29;False
2022-09-25;2;0;5;29;30;False
2022-10-02;3;0;6;26;29;False
2022-10-09;2;0;6;20;27;False
2022-10-16;2;0;5;41;25;False
2022-10-23;2;0;4;26;23;False
2022-10-30;2;0;6;15;23;False
2022-11-06;2;0;6;17;26;False
2022-11-13;5;0;6;14;22;False
2022-11-20;5;0;5;12;27;False
2022-11-27;8;0;6;11;27;False
2022-12-04;17;0;6;10;23;False
2022-12-11;15;0;9;11;23;False
2022-12-18;12;0;6;9;22;False
2022-12-25;7;0;3;7;29;False
2023-01-01;7;0;5;10;34;False
2023-01-08;5;0;6;14;31;False
2023-01-15;6;0;8;13;30;False
2023-01-22;9;0;6;13;28;False
2023-01-29;6;0;7;16;30;False
