date;Curry;Microsoft;National Gallery;Northampton;air travel;isPartial
2023-01-01;38;27;3;31;1;False
2023-01-02;43;35;4;31;2;False
2023-01-03;37;47;3;28;1;False
2023-01-04;36;47;3;26;2;False
2023-01-05;36;48;3;26;1;False
2023-01-06;37;45;3;26;1;False
2023-01-07;43;28;3;29;1;False
2023-01-08;40;34;3;22;2;False
2023-01-09;34;50;2;24;1;False
2023-01-10;33;54;3;26;1;False
2023-01-11;33;53;2;26;2;False
2023-01-12;37;56;3;27;1;False
2023-01-13;36;48;3;26;1;False
2023-01-14;46;29;3;28;1;False
2023-01-15;36;30;3;25;1;False
2023-01-16;34;54;2;26;1;False
2023-01-17;31;52;3;29;1;False
2023-01-18;33;55;3;26;1;False
2023-01-19;32;51;3;25;1;False
2023-01-20;37;46;3;28;1;False
2023-01-21;47;32;3;31;1;False
2023-01-22;35;32;3;22;1;False
2023-01-23;34;51;2;27;1;False
2023-01-24;34;54;2;26;1;False
2023-01-25;32;100;3;26;1;False
2023-01-26;32;53;2;24;1;False
2023-01-27;37;47;3;26;1;False
2023-01-28;43;29;2;30;1;False
2023-01-29;36;34;1;24;1;False
2023-01-30;33;54;3;25;2;False
2023-01-31;33;56;2;28;2;False
