date;stalking;mark zuckerberg;Economic growth (GDP);Asian Infrastructure Investment Bank;air travel;isPartial
2022-01-02;58;55;0;0;90;False
2022-01-09;54;56;5;0;98;False
2022-01-16;81;38;2;0;77;False
2022-01-23;77;38;2;1;84;False
2022-01-30;73;75;3;0;95;False
2022-02-06;73;61;6;0;96;False
2022-02-13;59;39;3;2;96;False
2022-02-20;64;39;3;0;98;False
2022-02-27;57;34;4;0;86;False
2022-03-06;70;28;5;0;90;False
2022-03-13;59;35;4;0;90;False
2022-03-20;65;48;4;0;88;False
2022-03-27;58;33;4;1;93;False
2022-04-03;66;27;2;0;85;False
2022-04-10;60;35;3;0;74;False
2022-04-17;63;31;3;0;82;False
2022-04-24;61;44;5;0;84;False
2022-05-01;58;44;3;0;87;False
2022-05-08;50;63;3;0;89;False
2022-05-15;58;53;3;0;93;False
2022-05-22;62;42;4;0;88;False
2022-05-29;44;37;4;0;90;False
2022-06-05;54;33;5;0;100;False
2022-06-12;56;27;3;0;87;False
2022-06-19;58;26;1;2;81;False
2022-06-26;53;28;3;0;87;False
2022-07-03;61;25;1;0;92;False
2022-07-10;72;30;1;0;95;False
2022-07-17;51;28;1;0;91;False
2022-07-24;61;28;1;0;90;False
2022-07-31;79;29;3;1;81;False
2022-08-07;59;32;0;0;78;False
2022-08-14;56;30;2;0;77;False
2022-08-21;59;46;1;0;67;False
2022-08-28;57;42;3;0;74;False
2022-09-04;50;39;3;2;80;False
2022-09-11;58;32;2;0;69;False
2022-09-18;53;44;2;0;66;False
2022-09-25;62;43;3;1;68;False
2022-10-02;53;46;3;0;65;False
2022-10-09;52;38;4;1;63;False
2022-10-16;60;28;4;0;57;False
2022-10-23;55;73;4;0;53;False
2022-10-30;56;51;4;0;53;False
2022-11-06;63;61;4;1;59;False
2022-11-13;55;36;2;0;50;False
2022-11-20;65;24;4;0;62;False
2022-11-27;61;25;5;0;61;False
2022-12-04;56;27;4;0;52;False
2022-12-11;60;24;4;1;53;False
2022-12-18;53;25;2;1;50;False
2022-12-25;54;35;0;0;66;False
2023-01-01;55;38;4;0;77;False
2023-01-08;57;23;5;0;71;False
2023-01-15;61;24;4;0;69;False
2023-01-22;57;28;4;2;64;False
2023-01-29;58;29;4;0;69;False
