date;Neymar;Bryan Adams;Channel Seven;Hermes;air travel;isPartial
2023-01-01;41;20;0;60;10;False
2023-01-02;40;3;0;83;12;False
2023-01-03;32;2;1;97;8;False
2023-01-04;28;4;0;96;12;False
2023-01-05;26;4;0;100;10;False
2023-01-06;34;5;1;93;10;False
2023-01-07;36;7;0;73;7;False
2023-01-08;43;5;2;70;11;False
2023-01-09;25;3;2;98;7;False
2023-01-10;26;3;2;98;11;False
2023-01-11;24;1;0;92;12;False
2023-01-12;26;3;0;95;10;False
2023-01-13;25;4;3;91;8;False
2023-01-14;29;6;1;69;7;False
2023-01-15;32;4;0;65;9;False
2023-01-16;23;3;0;99;9;False
2023-01-17;21;4;0;85;7;False
2023-01-18;23;2;0;84;11;False
2023-01-19;31;4;1;84;10;False
2023-01-20;23;3;3;79;8;False
2023-01-21;37;6;1;69;8;False
2023-01-22;96;5;0;61;9;False
2023-01-23;42;2;0;79;10;False
2023-01-24;26;2;0;79;7;False
2023-01-25;22;4;0;75;10;False
2023-01-26;22;2;0;76;9;False
2023-01-27;26;5;0;76;6;False
2023-01-28;23;4;1;67;9;False
2023-01-29;32;4;0;54;8;False
2023-01-30;21;3;0;80;13;False
2023-01-31;18;3;0;73;11;False
