date;Foyles;playstation;Ayatollah Ali Khamenei;Nigel Farage;air travel;isPartial
2022-01-02;2;75;0;4;5;False
2022-01-09;3;58;0;6;6;False
2022-01-16;4;62;0;4;5;False
2022-01-23;4;57;0;3;5;False
2022-01-30;4;57;0;4;6;False
2022-02-06;4;47;0;3;6;False
2022-02-13;3;51;0;3;6;False
2022-02-20;2;52;0;6;6;False
2022-02-27;2;46;0;5;5;False
2022-03-06;1;50;0;6;5;False
2022-03-13;2;43;0;4;5;False
2022-03-20;1;50;0;3;5;False
2022-03-27;1;47;0;3;6;False
2022-04-03;1;47;0;4;5;False
2022-04-10;2;46;0;4;4;False
2022-04-17;2;41;0;3;5;False
2022-04-24;1;44;0;3;5;False
2022-05-01;2;43;0;3;5;False
2022-05-08;1;38;0;3;5;False
2022-05-15;1;42;0;3;6;False
2022-05-22;1;39;0;2;5;False
2022-05-29;1;53;0;2;5;False
2022-06-05;1;46;0;3;6;False
2022-06-12;1;42;0;3;5;False
2022-06-19;1;47;0;3;5;False
2022-06-26;1;44;0;2;5;False
2022-07-03;1;40;0;4;6;False
2022-07-10;2;39;0;3;6;False
2022-07-17;1;45;0;3;5;False
2022-07-24;1;44;0;2;5;False
2022-07-31;2;45;0;3;5;False
2022-08-07;2;39;0;3;5;False
2022-08-14;1;41;0;2;5;False
2022-08-21;2;55;0;3;4;False
2022-08-28;1;53;0;3;4;False
2022-09-04;2;44;0;8;5;False
2022-09-11;2;50;0;3;4;False
2022-09-18;2;55;0;3;4;False
2022-09-25;1;60;0;3;4;False
2022-10-02;2;56;0;2;4;False
2022-10-09;2;53;0;3;4;False
2022-10-16;1;52;0;9;3;False
2022-10-23;2;61;0;5;3;False
2022-10-30;2;63;0;6;3;False
2022-11-06;2;68;0;4;4;False
2022-11-13;3;72;0;6;3;False
2022-11-20;2;74;0;6;4;False
2022-11-27;2;65;0;7;4;False
2022-12-04;2;64;0;5;3;False
2022-12-11;2;75;0;4;3;False
2022-12-18;3;79;0;4;3;False
2022-12-25;2;100;0;4;4;False
2023-01-01;2;61;0;3;5;False
2023-01-08;2;56;0;3;4;False
2023-01-15;1;55;0;3;4;False
2023-01-22;1;50;0;3;4;False
2023-01-29;1;55;0;3;4;False
