date;Epilepsy;Udinese;Momentum;Timothée Chalamet;air travel;isPartial
2022-01-02;46;9;34;9;33;False
2022-01-09;57;12;36;7;37;False
2022-01-16;48;8;34;3;28;False
2022-01-23;53;4;37;5;31;False
2022-01-30;56;2;37;4;35;False
2022-02-06;52;5;35;4;35;False
2022-02-13;52;3;36;6;35;False
2022-02-20;55;16;33;4;36;False
2022-02-27;53;5;35;4;31;False
2022-03-06;52;1;36;3;33;False
2022-03-13;52;11;36;2;32;False
2022-03-20;66;3;37;2;32;False
2022-03-27;56;2;34;7;34;False
2022-04-03;48;4;31;4;31;False
2022-04-10;45;5;30;4;27;False
2022-04-17;52;7;30;6;30;False
2022-04-24;54;7;38;4;31;False
2022-05-01;51;11;41;5;32;False
2022-05-08;52;4;36;3;32;False
2022-05-15;54;3;37;3;34;False
2022-05-22;55;5;37;2;32;False
2022-05-29;44;2;30;3;33;False
2022-06-05;56;2;41;3;36;False
2022-06-12;53;2;30;2;32;False
2022-06-19;53;2;42;3;29;False
2022-06-26;49;2;25;2;32;False
2022-07-03;49;2;24;1;33;False
2022-07-10;54;3;26;2;35;False
2022-07-17;46;4;22;2;33;False
2022-07-24;51;100;26;2;33;False
2022-07-31;46;9;23;2;29;False
2022-08-07;49;13;28;2;28;False
2022-08-14;46;7;23;2;28;False
2022-08-21;44;9;30;2;24;False
2022-08-28;45;6;26;4;27;False
2022-09-04;53;25;27;4;29;False
2022-09-11;52;7;31;8;25;False
2022-09-18;51;18;29;2;25;False
2022-09-25;56;2;31;2;25;False
2022-10-02;50;14;30;2;24;False
2022-10-09;57;8;34;2;23;False
2022-10-16;55;7;31;2;21;False
2022-10-23;51;7;29;2;19;False
2022-10-30;52;12;28;2;19;False
2022-11-06;51;16;34;2;22;False
2022-11-13;55;2;37;3;18;False
2022-11-20;46;1;38;3;23;False
2022-11-27;46;2;37;2;22;False
2022-12-04;46;6;31;3;19;False
2022-12-11;45;3;33;2;19;False
2022-12-18;42;2;22;2;18;False
2022-12-25;40;3;25;3;24;False
2023-01-01;51;16;33;2;28;False
2023-01-08;56;4;39;3;26;False
2023-01-15;53;5;36;1;25;False
2023-01-22;56;6;35;2;23;False
2023-01-29;56;20;36;1;25;False
