date;Fashion photography;Mike Pompeo;russia;Yorkshire;air travel;isPartial
2023-01-01;0;0;29;86;2;False
2023-01-02;0;0;31;69;2;False
2023-01-03;0;0;28;64;2;False
2023-01-04;0;0;27;61;2;False
2023-01-05;0;0;27;60;2;False
2023-01-06;1;0;28;60;2;False
2023-01-07;0;0;26;58;1;False
2023-01-08;0;0;28;89;2;False
2023-01-09;1;0;25;60;1;False
2023-01-10;0;0;27;60;2;False
2023-01-11;0;0;27;57;2;False
2023-01-12;0;0;28;60;2;False
2023-01-13;0;0;26;52;2;False
2023-01-14;0;0;26;56;1;False
2023-01-15;0;0;28;84;2;False
2023-01-16;0;0;27;61;2;False
2023-01-17;0;0;27;57;1;False
2023-01-18;0;0;27;62;2;False
2023-01-19;0;0;31;59;2;False
2023-01-20;0;0;30;59;2;False
2023-01-21;0;0;28;59;2;False
2023-01-22;0;0;28;90;2;False
2023-01-23;0;0;30;60;2;False
2023-01-24;0;0;35;64;1;False
2023-01-25;0;0;41;62;2;False
2023-01-26;0;0;37;59;2;False
2023-01-27;0;0;36;60;1;False
2023-01-28;0;0;29;56;2;False
2023-01-29;0;0;35;100;2;False
2023-01-30;0;0;34;67;3;False
2023-01-31;0;0;33;64;2;False
