date;smoking;Family;Chinese economy;ian king;air travel;isPartial
2022-01-02;9;82;0;0;1;False
2022-01-09;9;69;0;0;1;False
2022-01-16;8;66;0;0;1;False
2022-01-23;7;65;0;0;1;False
2022-01-30;9;70;0;0;1;False
2022-02-06;8;57;0;0;1;False
2022-02-13;8;64;0;0;1;False
2022-02-20;8;68;0;0;1;False
2022-02-27;9;62;0;0;1;False
2022-03-06;8;66;0;0;1;False
2022-03-13;9;66;0;0;1;False
2022-03-20;9;65;0;0;1;False
2022-03-27;8;63;0;0;1;False
2022-04-03;8;69;0;0;1;False
2022-04-10;8;68;0;0;1;False
2022-04-17;8;67;0;0;1;False
2022-04-24;8;62;0;0;1;False
2022-05-01;9;67;0;0;1;False
2022-05-08;9;68;0;0;1;False
2022-05-15;9;66;0;0;1;False
2022-05-22;9;69;0;0;1;False
2022-05-29;8;75;0;0;1;False
2022-06-05;10;71;0;0;1;False
2022-06-12;9;63;0;0;1;False
2022-06-19;9;68;0;0;1;False
2022-06-26;9;60;0;0;1;False
2022-07-03;9;64;0;0;1;False
2022-07-10;9;65;0;0;1;False
2022-07-17;7;65;0;0;1;False
2022-07-24;8;70;0;0;1;False
2022-07-31;8;71;0;0;1;False
2022-08-07;8;69;0;0;1;False
2022-08-14;7;69;0;0;1;False
2022-08-21;8;71;0;0;1;False
2022-08-28;8;74;0;0;1;False
2022-09-04;8;100;0;0;1;False
2022-09-11;7;94;0;0;1;False
2022-09-18;8;91;0;0;1;False
2022-09-25;9;72;0;0;1;False
2022-10-02;8;67;0;0;1;False
2022-10-09;9;69;0;0;1;False
2022-10-16;8;72;0;0;1;False
2022-10-23;8;75;0;0;1;False
2022-10-30;7;72;0;0;1;False
2022-11-06;8;77;0;0;1;False
2022-11-13;8;74;0;0;1;False
2022-11-20;7;68;0;0;1;False
2022-11-27;8;81;0;0;1;False
2022-12-04;7;73;0;0;1;False
2022-12-11;7;69;0;0;1;False
2022-12-18;7;91;0;0;1;False
2022-12-25;7;83;0;0;1;False
2023-01-01;9;79;0;0;1;False
2023-01-08;9;75;0;0;1;False
2023-01-15;10;66;0;0;1;False
2023-01-22;9;71;0;0;1;False
2023-01-29;9;72;0;0;1;False
