date;Horse racing;Supermarkets;Rugby union;Manga;air travel;isPartial
2023-01-01;90;40;7;33;3;False
2023-01-02;68;15;5;37;4;False
2023-01-03;60;7;4;28;3;False
2023-01-04;66;6;4;28;4;False
2023-01-05;62;5;3;26;3;False
2023-01-06;69;7;7;27;3;False
2023-01-07;85;6;11;26;2;False
2023-01-08;59;9;8;34;4;False
2023-01-09;58;6;4;28;2;False
2023-01-10;61;8;5;28;4;False
2023-01-11;59;9;6;22;4;False
2023-01-12;65;7;4;26;3;False
2023-01-13;67;6;7;23;3;False
2023-01-14;88;7;13;26;3;False
2023-01-15;57;9;7;32;3;False
2023-01-16;58;6;6;26;3;False
2023-01-17;60;6;6;27;3;False
2023-01-18;58;6;4;25;4;False
2023-01-19;64;6;6;28;3;False
2023-01-20;73;6;9;28;3;False
2023-01-21;100;8;14;31;3;False
2023-01-22;59;9;11;32;3;False
2023-01-23;59;7;4;27;3;False
2023-01-24;56;9;5;25;2;False
2023-01-25;57;7;4;22;3;False
2023-01-26;64;7;7;25;3;False
2023-01-27;66;6;7;26;2;False
2023-01-28;88;7;12;28;3;False
2023-01-29;59;10;9;33;3;False
2023-01-30;64;6;6;27;4;False
2023-01-31;61;6;5;26;4;False
