date;R&B;Christian Bale;Michael Bay;Graphic design;air travel;isPartial
2022-01-02;26;34;6;54;46;False
2022-01-09;24;34;7;55;50;False
2022-01-16;28;33;6;52;39;False
2022-01-23;24;31;9;67;43;False
2022-01-30;31;37;5;57;49;False
2022-02-06;27;31;5;56;49;False
2022-02-13;27;35;5;47;49;False
2022-02-20;25;39;6;52;50;False
2022-02-27;25;47;4;50;44;False
2022-03-06;26;71;5;52;46;False
2022-03-13;25;55;7;56;46;False
2022-03-20;25;49;11;54;45;False
2022-03-27;26;56;13;48;48;False
2022-04-03;25;46;9;48;44;False
2022-04-10;23;43;7;44;38;False
2022-04-17;27;50;5;45;42;False
2022-04-24;25;36;7;50;43;False
2022-05-01;24;42;7;55;45;False
2022-05-08;22;31;5;55;46;False
2022-05-15;22;32;6;50;48;False
2022-05-22;24;73;6;47;45;False
2022-05-29;22;40;4;37;46;False
2022-06-05;23;33;6;53;51;False
2022-06-12;24;32;4;54;45;False
2022-06-19;22;40;5;45;42;False
2022-06-26;25;43;4;45;45;False
2022-07-03;23;66;5;47;47;False
2022-07-10;23;63;5;43;49;False
2022-07-17;23;48;5;44;46;False
2022-07-24;24;67;6;44;46;False
2022-07-31;23;53;6;41;41;False
2022-08-07;25;38;4;44;40;False
2022-08-14;21;42;5;44;40;False
2022-08-21;24;31;4;46;34;False
2022-08-28;24;33;4;46;38;False
2022-09-04;21;55;5;51;41;False
2022-09-11;29;52;5;52;36;False
2022-09-18;21;46;6;45;34;False
2022-09-25;20;43;4;59;35;False
2022-10-02;22;100;4;57;33;False
2022-10-09;21;71;4;51;32;False
2022-10-16;22;46;5;56;29;False
2022-10-23;24;49;4;47;27;False
2022-10-30;21;42;4;51;27;False
2022-11-06;23;36;6;54;30;False
2022-11-13;19;37;5;53;26;False
2022-11-20;21;39;4;50;32;False
2022-11-27;22;40;7;57;31;False
2022-12-04;20;36;4;47;27;False
2022-12-11;17;44;5;51;27;False
2022-12-18;24;68;5;40;26;False
2022-12-25;23;54;6;35;34;False
2023-01-01;23;84;4;54;39;False
2023-01-08;23;94;8;56;36;False
2023-01-15;28;52;7;61;35;False
2023-01-22;29;47;6;58;33;False
2023-01-29;26;43;4;59;35;False
