date;ed sheeran;Baking;Stormzy;gwen stefani;air travel;isPartial
2022-01-02;27;35;5;2;5;False
2022-01-09;24;30;5;2;6;False
2022-01-16;22;30;4;2;4;False
2022-01-23;22;32;4;2;5;False
2022-01-30;22;33;4;2;6;False
2022-02-06;51;32;7;2;6;False
2022-02-13;25;36;5;2;6;False
2022-02-20;30;37;8;2;6;False
2022-02-27;24;34;8;2;5;False
2022-03-06;38;30;9;2;5;False
2022-03-13;26;34;18;2;5;False
2022-03-20;27;38;15;1;5;False
2022-03-27;41;32;14;1;5;False
2022-04-03;34;36;7;3;5;False
2022-04-10;25;38;3;2;4;False
2022-04-17;24;33;3;2;5;False
2022-04-24;34;30;3;2;5;False
2022-05-01;28;30;6;6;5;False
2022-05-08;41;30;4;2;5;False
2022-05-15;43;28;3;2;5;False
2022-05-22;74;29;3;2;5;False
2022-05-29;74;34;3;1;5;False
2022-06-05;100;29;3;2;6;False
2022-06-12;73;28;4;1;5;False
2022-06-19;68;27;11;2;5;False
2022-06-26;80;27;6;1;5;False
2022-07-03;21;26;4;2;5;False
2022-07-10;21;27;3;2;6;False
2022-07-17;21;25;3;2;5;False
2022-07-24;18;30;4;2;5;False
2022-07-31;14;29;3;2;5;False
2022-08-07;15;27;3;2;5;False
2022-08-14;14;28;3;2;4;False
2022-08-21;18;29;7;2;4;False
2022-08-28;17;32;3;1;4;False
2022-09-04;15;29;3;2;5;False
2022-09-11;15;34;3;8;4;False
2022-09-18;14;36;14;3;4;False
2022-09-25;19;39;9;3;4;False
2022-10-02;17;34;5;5;4;False
2022-10-09;16;37;9;2;4;False
2022-10-16;16;39;19;3;3;False
2022-10-23;23;40;33;3;3;False
2022-10-30;15;36;16;2;3;False
2022-11-06;16;36;13;2;3;False
2022-11-13;14;34;29;2;3;False
2022-11-20;12;34;19;2;4;False
2022-11-27;14;36;22;2;4;False
2022-12-04;13;36;11;2;3;False
2022-12-11;14;36;10;4;3;False
2022-12-18;16;47;10;3;3;False
2022-12-25;17;30;8;5;4;False
2023-01-01;13;32;6;3;4;False
2023-01-08;12;29;6;5;4;False
2023-01-15;17;31;11;3;4;False
2023-01-22;14;32;5;4;4;False
2023-01-29;13;37;5;3;4;False
