date;Jeff Bezos;Documentary;the crown;kamala harris;air travel;isPartial
2022-01-02;10;26;14;1;3;False
2022-01-09;4;23;13;0;3;False
2022-01-16;3;24;13;1;2;False
2022-01-23;3;25;15;0;3;False
2022-01-30;5;24;14;0;3;False
2022-02-06;4;29;14;0;3;False
2022-02-13;3;27;13;1;3;False
2022-02-20;2;26;14;1;3;False
2022-02-27;2;23;12;1;3;False
2022-03-06;2;19;11;1;3;False
2022-03-13;2;23;13;1;3;False
2022-03-20;2;22;13;1;3;False
2022-03-27;2;25;12;1;3;False
2022-04-03;2;26;11;1;3;False
2022-04-10;3;26;12;0;2;False
2022-04-17;2;24;11;0;3;False
2022-04-24;3;22;11;1;3;False
2022-05-01;2;22;13;0;3;False
2022-05-08;2;21;12;0;3;False
2022-05-15;2;22;13;0;3;False
2022-05-22;2;19;14;0;3;False
2022-05-29;3;18;20;0;3;False
2022-06-05;2;21;15;0;3;False
2022-06-12;2;22;13;0;3;False
2022-06-19;2;20;12;0;3;False
2022-06-26;2;24;11;0;3;False
2022-07-03;2;19;11;0;3;False
2022-07-10;2;25;12;0;3;False
2022-07-17;2;25;11;0;3;False
2022-07-24;2;21;12;1;3;False
2022-07-31;2;23;12;0;3;False
2022-08-07;2;21;12;0;2;False
2022-08-14;2;21;11;0;2;False
2022-08-21;1;28;12;0;2;False
2022-08-28;2;26;13;0;2;False
2022-09-04;4;23;34;0;2;False
2022-09-11;2;21;56;0;2;False
2022-09-18;2;23;71;0;2;False
2022-09-25;2;23;27;0;2;False
2022-10-02;2;24;18;1;2;False
2022-10-09;2;24;22;0;2;False
2022-10-16;2;24;25;0;2;False
2022-10-23;2;22;21;0;2;False
2022-10-30;2;23;33;0;2;False
2022-11-06;2;25;100;1;2;False
2022-11-13;6;23;74;1;2;False
2022-11-20;2;21;37;0;2;False
2022-11-27;1;24;30;0;2;False
2022-12-04;1;28;24;1;2;False
2022-12-11;1;25;19;1;2;False
2022-12-18;1;20;21;0;2;False
2022-12-25;1;21;23;1;2;False
2023-01-01;1;24;17;0;2;False
2023-01-08;2;24;15;1;2;False
2023-01-15;1;24;14;1;2;False
2023-01-22;2;30;14;0;2;False
2023-01-29;1;27;13;1;2;False
