date;Soho theatre;Young people;Europe holidays;Harold Macmillan;air travel;isPartial
2022-01-02;16;78;45;4;54;False
2022-01-09;16;90;42;5;59;False
2022-01-16;15;82;44;2;46;False
2022-01-23;18;86;43;7;51;False
2022-01-30;16;95;47;4;57;False
2022-02-06;17;86;43;5;58;False
2022-02-13;17;75;42;3;58;False
2022-02-20;22;88;51;3;59;False
2022-02-27;15;85;40;2;52;False
2022-03-06;16;87;38;4;54;False
2022-03-13;16;100;46;3;54;False
2022-03-20;11;88;45;4;53;False
2022-03-27;15;80;43;2;56;False
2022-04-03;17;74;46;2;51;False
2022-04-10;12;68;44;6;44;False
2022-04-17;14;73;48;2;49;False
2022-04-24;12;95;48;3;51;False
2022-05-01;13;89;52;2;52;False
2022-05-08;13;87;50;2;54;False
2022-05-15;15;82;47;3;56;False
2022-05-22;12;75;46;2;53;False
2022-05-29;13;59;42;3;54;False
2022-06-05;13;84;51;4;60;False
2022-06-12;12;81;50;2;52;False
2022-06-19;9;77;44;3;49;False
2022-06-26;12;63;46;4;52;False
2022-07-03;13;71;44;7;55;False
2022-07-10;17;72;40;4;57;False
2022-07-17;14;64;42;2;54;False
2022-07-24;14;61;44;2;54;False
2022-07-31;12;58;43;2;49;False
2022-08-07;13;56;42;2;47;False
2022-08-14;15;58;44;2;46;False
2022-08-21;19;59;44;3;40;False
2022-08-28;19;55;43;2;44;False
2022-09-04;17;73;37;11;48;False
2022-09-11;15;71;41;12;42;False
2022-09-18;18;71;40;13;40;False
2022-09-25;17;79;39;9;41;False
2022-10-02;18;81;30;7;39;False
2022-10-09;19;83;33;6;38;False
2022-10-16;20;78;35;7;34;False
2022-10-23;19;67;34;5;32;False
2022-10-30;19;77;28;6;32;False
2022-11-06;22;78;34;4;36;False
2022-11-13;17;87;27;5;30;False
2022-11-20;18;73;25;3;38;False
2022-11-27;19;77;29;1;37;False
2022-12-04;16;72;21;4;31;False
2022-12-11;18;72;24;2;32;False
2022-12-18;17;50;33;2;30;False
2022-12-25;15;37;56;3;39;False
2023-01-01;18;68;77;3;46;False
2023-01-08;24;74;68;5;43;False
2023-01-15;22;83;67;2;41;False
2023-01-22;19;86;60;2;38;False
2023-01-29;19;87;60;3;41;False
