date;Leo Varadkar;Mark Dreyfus;Soap opera;beckham injury;air travel;isPartial
2023-01-01;0;13;12;0;76;False
2023-01-02;16;0;22;0;90;False
2023-01-03;46;0;17;14;59;False
2023-01-04;9;0;8;0;89;False
2023-01-05;0;0;7;0;73;False
2023-01-06;5;0;31;0;73;False
2023-01-07;0;0;25;10;53;False
2023-01-08;0;0;11;0;84;False
2023-01-09;0;0;15;0;50;False
2023-01-10;12;0;9;0;79;False
2023-01-11;9;6;0;0;90;False
2023-01-12;12;0;0;11;75;False
2023-01-13;0;21;17;15;60;False
2023-01-14;7;0;7;0;56;False
2023-01-15;0;0;5;0;66;False
2023-01-16;0;0;8;6;68;False
2023-01-17;0;6;0;0;56;False
2023-01-18;0;0;14;0;80;False
2023-01-19;0;0;0;0;73;False
2023-01-20;13;0;6;0;59;False
2023-01-21;0;0;6;0;63;False
2023-01-22;11;0;15;0;70;False
2023-01-23;0;0;7;0;72;False
2023-01-24;0;0;15;0;55;False
2023-01-25;0;0;10;0;75;False
2023-01-26;0;0;7;0;68;False
2023-01-27;0;7;0;11;47;False
2023-01-28;6;5;19;0;66;False
2023-01-29;0;8;10;0;60;False
2023-01-30;0;0;22;0;100;False
2023-01-31;9;0;0;0;84;False
