date;Gavin Williamson;Teacher shortages;Idaho;Ian Poulter;air travel;isPartial
2022-01-02;0;0;3;0;8;False
2022-01-09;1;0;4;0;9;False
2022-01-16;15;0;3;1;7;False
2022-01-23;1;0;3;1;8;False
2022-01-30;0;0;3;1;9;False
2022-02-06;0;0;4;0;9;False
2022-02-13;0;0;3;0;9;False
2022-02-20;0;0;3;0;9;False
2022-02-27;24;0;3;1;8;False
2022-03-06;4;0;3;1;8;False
2022-03-13;1;0;4;1;8;False
2022-03-20;0;0;3;1;8;False
2022-03-27;1;0;3;1;8;False
2022-04-03;1;0;3;2;8;False
2022-04-10;0;0;3;1;7;False
2022-04-17;0;0;3;1;7;False
2022-04-24;1;0;3;0;8;False
2022-05-01;0;0;3;0;8;False
2022-05-08;0;0;3;1;8;False
2022-05-15;1;0;3;1;8;False
2022-05-22;0;0;3;0;8;False
2022-05-29;0;0;3;1;8;False
2022-06-05;1;0;3;3;9;False
2022-06-12;0;0;4;1;8;False
2022-06-19;0;0;3;1;7;False
2022-06-26;2;0;3;0;8;False
2022-07-03;2;0;4;2;8;False
2022-07-10;2;0;4;5;9;False
2022-07-17;0;0;4;1;8;False
2022-07-24;1;0;3;1;8;False
2022-07-31;0;0;3;1;7;False
2022-08-07;0;0;4;0;7;False
2022-08-14;0;0;4;1;7;False
2022-08-21;0;0;4;0;6;False
2022-08-28;0;0;4;0;7;False
2022-09-04;1;0;4;1;7;False
2022-09-11;0;0;4;1;6;False
2022-09-18;0;0;4;0;6;False
2022-09-25;0;0;4;0;6;False
2022-10-02;0;0;4;0;6;False
2022-10-09;0;0;3;0;6;False
2022-10-16;1;0;3;0;5;False
2022-10-23;9;0;4;0;5;False
2022-10-30;6;0;3;0;5;False
2022-11-06;100;0;3;0;5;False
2022-11-13;2;0;12;0;4;False
2022-11-20;1;0;23;0;6;False
2022-11-27;0;0;19;0;5;False
2022-12-04;0;0;34;0;5;False
2022-12-11;0;0;32;0;5;False
2022-12-18;0;0;25;0;4;False
2022-12-25;0;0;48;0;6;False
2023-01-01;0;0;56;0;7;False
2023-01-08;0;0;31;0;6;False
2023-01-15;0;0;16;1;6;False
2023-01-22;0;0;10;1;6;False
2023-01-29;1;0;9;1;6;False
