date;idaho student murders;republic of ireland;Terrence Malick;Sandi Toksvig;air travel;isPartial
2022-01-02;2;23;1;18;39;False
2022-01-09;1;24;1;9;43;False
2022-01-16;0;27;1;8;34;False
2022-01-23;0;23;1;11;37;False
2022-01-30;0;25;1;6;42;False
2022-02-06;0;23;1;8;42;False
2022-02-13;0;24;1;50;42;False
2022-02-20;0;26;0;35;43;False
2022-02-27;1;20;1;22;38;False
2022-03-06;1;26;0;31;40;False
2022-03-13;1;27;1;32;39;False
2022-03-20;1;39;1;43;38;False
2022-03-27;0;34;2;38;41;False
2022-04-03;0;20;1;22;37;False
2022-04-10;0;20;1;14;32;False
2022-04-17;0;19;1;16;36;False
2022-04-24;0;19;0;13;37;False
2022-05-01;0;24;1;16;38;False
2022-05-08;0;25;1;8;39;False
2022-05-15;0;26;1;11;41;False
2022-05-22;0;27;1;9;39;False
2022-05-29;1;37;0;7;39;False
2022-06-05;0;69;2;7;44;False
2022-06-12;0;36;0;7;38;False
2022-06-19;0;18;1;9;36;False
2022-06-26;0;26;0;8;38;False
2022-07-03;1;24;0;4;40;False
2022-07-10;0;22;2;3;42;False
2022-07-17;0;18;1;4;40;False
2022-07-24;0;22;0;7;39;False
2022-07-31;0;22;0;16;35;False
2022-08-07;0;19;1;6;34;False
2022-08-14;0;19;1;5;34;False
2022-08-21;1;17;0;5;29;False
2022-08-28;2;24;1;4;32;False
2022-09-04;0;24;1;4;35;False
2022-09-11;0;27;1;4;30;False
2022-09-18;0;74;1;3;29;False
2022-09-25;0;39;0;2;30;False
2022-10-02;0;20;1;4;29;False
2022-10-09;0;38;1;4;27;False
2022-10-16;0;22;0;3;25;False
2022-10-23;0;20;0;5;23;False
2022-10-30;0;19;0;4;23;False
2022-11-06;0;23;1;5;26;False
2022-11-13;3;28;0;5;22;False
2022-11-20;19;22;0;3;27;False
2022-11-27;18;18;1;20;27;False
2022-12-04;31;21;1;100;23;False
2022-12-11;18;18;1;39;23;False
2022-12-18;12;14;0;37;22;False
2022-12-25;17;12;0;35;29;False
2023-01-01;16;16;0;14;34;False
2023-01-08;10;15;0;12;31;False
2023-01-15;6;20;1;15;30;False
2023-01-22;3;20;1;10;28;False
2023-01-29;2;18;1;9;30;False
