date;Broadband;lewis hamilton;social care;University of Oxford;air travel;isPartial
2022-01-02;87;18;21;3;5;False
2022-01-09;92;17;25;3;5;False
2022-01-16;93;13;23;2;4;False
2022-01-23;91;13;23;3;4;False
2022-01-30;96;15;24;3;5;False
2022-02-06;94;13;24;3;5;False
2022-02-13;92;11;20;3;5;False
2022-02-20;89;9;20;3;5;False
2022-02-27;86;7;22;3;4;False
2022-03-06;87;11;23;3;5;False
2022-03-13;93;33;24;3;5;False
2022-03-20;88;26;24;3;4;False
2022-03-27;86;18;24;2;5;False
2022-04-03;93;12;21;3;4;False
2022-04-10;82;12;16;2;4;False
2022-04-17;86;16;17;3;4;False
2022-04-24;83;15;23;2;4;False
2022-05-01;87;13;21;3;4;False
2022-05-08;84;14;24;3;5;False
2022-05-15;80;10;22;3;5;False
2022-05-22;78;14;21;2;4;False
2022-05-29;70;13;14;2;5;False
2022-06-05;79;10;20;2;5;False
2022-06-12;76;14;19;2;4;False
2022-06-19;83;13;19;3;4;False
2022-06-26;81;37;18;3;4;False
2022-07-03;81;25;17;3;5;False
2022-07-10;81;15;16;2;5;False
2022-07-17;79;11;15;3;5;False
2022-07-24;92;16;16;3;5;False
2022-07-31;88;14;14;2;4;False
2022-08-07;87;10;14;2;4;False
2022-08-14;84;8;15;3;4;False
2022-08-21;89;8;17;3;3;False
2022-08-28;84;16;16;3;4;False
2022-09-04;90;15;20;3;4;False
2022-09-11;88;12;21;3;4;False
2022-09-18;84;7;21;3;3;False
2022-09-25;81;10;22;3;3;False
2022-10-02;89;13;23;4;3;False
2022-10-09;90;12;22;4;3;False
2022-10-16;94;7;22;3;3;False
2022-10-23;100;12;17;3;3;False
2022-10-30;95;12;20;3;3;False
2022-11-06;85;11;22;3;3;False
2022-11-13;86;14;22;3;3;False
2022-11-20;83;14;19;3;3;False
2022-11-27;77;8;19;3;3;False
2022-12-04;71;6;19;3;3;False
2022-12-11;71;6;17;3;3;False
2022-12-18;67;6;13;2;3;False
2022-12-25;61;8;10;1;3;False
2023-01-01;77;9;18;3;4;False
2023-01-08;82;7;24;3;4;False
2023-01-15;90;7;22;3;4;False
2023-01-22;89;8;23;3;3;False
2023-01-29;86;7;23;3;4;False
