date;Perth;Chemical weapons;Immigration and asylum;1899 Hoffenheim;air travel;isPartial
2022-01-02;50;0;0;0;7;False
2022-01-09;51;0;0;0;7;False
2022-01-16;52;0;0;0;6;False
2022-01-23;57;0;0;0;6;False
2022-01-30;60;0;0;0;7;False
2022-02-06;59;0;0;0;7;False
2022-02-13;62;0;0;0;7;False
2022-02-20;65;1;0;0;7;False
2022-02-27;57;1;0;0;7;False
2022-03-06;56;11;0;0;7;False
2022-03-13;61;3;0;0;7;False
2022-03-20;61;5;0;0;7;False
2022-03-27;58;1;0;0;7;False
2022-04-03;64;1;0;0;6;False
2022-04-10;63;5;0;0;6;False
2022-04-17;58;1;0;0;6;False
2022-04-24;61;0;0;0;6;False
2022-05-01;61;0;0;0;7;False
2022-05-08;62;0;0;0;7;False
2022-05-15;66;0;0;0;7;False
2022-05-22;60;0;0;0;7;False
2022-05-29;64;0;0;0;7;False
2022-06-05;67;0;0;0;8;False
2022-06-12;70;0;0;0;7;False
2022-06-19;62;0;0;0;6;False
2022-06-26;67;0;0;0;7;False
2022-07-03;61;0;0;0;7;False
2022-07-10;66;0;0;0;7;False
2022-07-17;72;0;0;0;7;False
2022-07-24;72;0;0;0;7;False
2022-07-31;77;0;0;0;6;False
2022-08-07;70;0;0;0;6;False
2022-08-14;69;0;0;0;6;False
2022-08-21;66;0;0;0;5;False
2022-08-28;70;0;0;0;6;False
2022-09-04;69;0;0;0;6;False
2022-09-11;66;0;0;0;5;False
2022-09-18;59;0;0;0;5;False
2022-09-25;64;0;0;0;5;False
2022-10-02;58;0;0;0;5;False
2022-10-09;56;0;0;0;5;False
2022-10-16;66;0;0;0;4;False
2022-10-23;68;0;0;0;4;False
2022-10-30;69;0;0;0;4;False
2022-11-06;62;0;0;0;4;False
2022-11-13;57;0;0;0;4;False
2022-11-20;55;0;0;0;5;False
2022-11-27;55;0;0;0;5;False
2022-12-04;58;0;0;0;4;False
2022-12-11;63;0;0;0;4;False
2022-12-18;63;0;0;0;4;False
2022-12-25;70;0;0;0;5;False
2023-01-01;100;0;0;0;6;False
2023-01-08;63;0;0;0;5;False
2023-01-15;63;0;0;0;5;False
2023-01-22;65;0;0;0;5;False
2023-01-29;69;0;0;0;5;False
