date;Banking;online safety bill;Race in education;Dentists;air travel;isPartial
2022-01-02;81;0;0;5;2;False
2022-01-09;86;0;0;5;3;False
2022-01-16;87;0;0;5;2;False
2022-01-23;91;0;0;5;2;False
2022-01-30;97;0;0;5;3;False
2022-02-06;83;0;0;5;3;False
2022-02-13;76;0;0;5;3;False
2022-02-20;87;0;0;5;3;False
2022-02-27;96;0;0;5;2;False
2022-03-06;86;0;0;5;2;False
2022-03-13;85;1;0;5;2;False
2022-03-20;90;0;0;5;2;False
2022-03-27;93;0;0;4;2;False
2022-04-03;79;0;0;5;2;False
2022-04-10;77;0;0;4;2;False
2022-04-17;80;0;0;4;2;False
2022-04-24;83;0;0;5;2;False
2022-05-01;89;0;0;6;2;False
2022-05-08;81;0;0;5;2;False
2022-05-15;85;0;0;4;2;False
2022-05-22;83;0;0;4;2;False
2022-05-29;85;0;0;4;2;False
2022-06-05;78;0;0;5;3;False
2022-06-12;79;0;0;4;2;False
2022-06-19;86;0;0;4;2;False
2022-06-26;98;0;0;4;2;False
2022-07-03;81;0;0;4;2;False
2022-07-10;96;1;0;5;3;False
2022-07-17;87;0;0;4;2;False
2022-07-24;99;0;0;4;2;False
2022-07-31;91;0;0;4;2;False
2022-08-07;83;0;0;6;2;False
2022-08-14;80;0;0;4;2;False
2022-08-21;98;0;0;4;2;False
2022-08-28;90;0;0;4;2;False
2022-09-04;89;0;0;4;2;False
2022-09-11;92;0;0;4;2;False
2022-09-18;88;0;0;4;2;False
2022-09-25;93;0;0;4;2;False
2022-10-02;92;0;0;4;2;False
2022-10-09;97;0;0;4;2;False
2022-10-16;89;0;0;4;2;False
2022-10-23;93;0;0;4;1;False
2022-10-30;98;0;0;4;1;False
2022-11-06;94;0;0;4;2;False
2022-11-13;90;0;0;4;1;False
2022-11-20;88;0;0;4;2;False
2022-11-27;100;1;0;4;2;False
2022-12-04;79;0;0;3;1;False
2022-12-11;96;0;0;3;1;False
2022-12-18;90;0;0;3;1;False
2022-12-25;65;0;0;3;2;False
2023-01-01;84;0;0;4;2;False
2023-01-08;82;0;0;5;2;False
2023-01-15;89;1;0;4;2;False
2023-01-22;93;0;0;4;2;False
2023-01-29;90;0;0;4;2;False
