date;Energy;Emeli Sandé;Menopause;instagram;air travel;isPartial
2022-01-02;46;0;5;92;1;False
2022-01-09;54;0;7;91;1;False
2022-01-16;53;0;6;79;1;False
2022-01-23;56;0;6;90;1;False
2022-01-30;84;0;7;94;1;False
2022-02-06;54;0;6;87;1;False
2022-02-13;47;0;6;85;1;False
2022-02-20;56;0;6;90;1;False
2022-02-27;64;0;6;86;1;False
2022-03-06;71;0;6;82;1;False
2022-03-13;58;0;6;94;1;False
2022-03-20;59;0;6;87;1;False
2022-03-27;98;0;5;89;1;False
2022-04-03;65;0;5;88;1;False
2022-04-10;48;0;5;94;1;False
2022-04-17;42;0;6;90;1;False
2022-04-24;53;0;9;79;1;False
2022-05-01;53;0;16;86;1;False
2022-05-08;52;0;8;92;1;False
2022-05-15;48;0;8;89;1;False
2022-05-22;70;0;7;86;1;False
2022-05-29;47;0;6;87;1;False
2022-06-05;56;0;7;90;1;False
2022-06-12;49;0;7;86;1;False
2022-06-19;47;0;7;83;1;False
2022-06-26;48;0;6;87;1;False
2022-07-03;47;0;6;86;1;False
2022-07-10;51;0;6;91;1;False
2022-07-17;43;0;5;80;1;False
2022-07-24;58;0;7;87;1;False
2022-07-31;54;0;8;81;1;False
2022-08-07;68;0;7;87;1;False
2022-08-14;57;0;7;77;1;False
2022-08-21;89;0;9;81;1;False
2022-08-28;87;0;8;85;1;False
2022-09-04;100;0;9;78;1;False
2022-09-11;62;0;8;84;1;False
2022-09-18;70;0;7;82;1;False
2022-09-25;100;0;7;85;1;False
2022-10-02;97;0;9;86;1;False
2022-10-09;69;0;10;75;1;False
2022-10-16;69;0;11;70;1;False
2022-10-23;59;0;9;79;1;False
2022-10-30;69;0;8;82;1;False
2022-11-06;65;0;7;76;1;False
2022-11-13;61;0;7;74;1;False
2022-11-20;56;0;5;66;1;False
2022-11-27;65;0;6;69;1;False
2022-12-04;60;0;5;69;1;False
2022-12-11;63;0;5;78;1;False
2022-12-18;53;0;5;80;1;False
2022-12-25;48;0;5;80;1;False
2023-01-01;60;0;6;76;1;False
2023-01-08;61;0;6;72;1;False
2023-01-15;66;0;6;77;1;False
2023-01-22;67;0;9;78;1;False
2023-01-29;66;0;7;78;1;False
