date;Wanda Sykes;the 1975;Crosby, Stills, Nash and Young;Olivia Colman;air travel;isPartial
2022-01-02;0;8;0;46;22;False
2022-01-09;1;7;0;26;24;False
2022-01-16;1;8;0;20;19;False
2022-01-23;0;9;0;14;21;False
2022-01-30;1;13;0;12;24;False
2022-02-06;1;8;0;14;24;False
2022-02-13;2;9;0;11;24;False
2022-02-20;1;8;0;9;24;False
2022-02-27;1;8;0;9;21;False
2022-03-06;0;8;0;8;22;False
2022-03-13;1;9;0;7;22;False
2022-03-20;2;9;0;11;22;False
2022-03-27;10;9;0;13;23;False
2022-04-03;2;7;0;11;21;False
2022-04-10;1;7;0;9;18;False
2022-04-17;2;7;0;13;20;False
2022-04-24;2;9;0;20;21;False
2022-05-01;1;8;0;17;21;False
2022-05-08;1;9;0;18;22;False
2022-05-15;1;9;0;11;23;False
2022-05-22;0;6;0;10;22;False
2022-05-29;1;14;0;7;22;False
2022-06-05;1;9;0;6;25;False
2022-06-12;1;9;0;7;22;False
2022-06-19;1;9;0;5;20;False
2022-06-26;1;9;0;4;21;False
2022-07-03;1;19;0;4;23;False
2022-07-10;1;13;0;6;23;False
2022-07-17;1;12;0;7;22;False
2022-07-24;0;10;0;9;22;False
2022-07-31;1;19;0;7;20;False
2022-08-07;0;22;0;6;19;False
2022-08-14;1;16;0;7;19;False
2022-08-21;0;24;0;6;17;False
2022-08-28;0;57;0;6;18;False
2022-09-04;0;54;0;8;20;False
2022-09-11;0;22;0;10;17;False
2022-09-18;0;17;0;9;16;False
2022-09-25;0;22;0;9;17;False
2022-10-02;1;21;0;8;16;False
2022-10-09;0;45;0;8;15;False
2022-10-16;0;39;0;7;14;False
2022-10-23;0;21;0;8;13;False
2022-10-30;0;20;0;6;13;False
2022-11-06;0;25;0;11;15;False
2022-11-13;0;22;0;7;12;False
2022-11-20;1;21;1;5;15;False
2022-11-27;1;32;0;5;15;False
2022-12-04;0;25;0;6;13;False
2022-12-11;1;30;0;7;13;False
2022-12-18;1;29;0;7;12;False
2022-12-25;1;26;0;35;16;False
2023-01-01;1;36;0;31;19;False
2023-01-08;0;100;0;28;17;False
2023-01-15;1;78;1;16;17;False
2023-01-22;1;69;0;12;16;False
2023-01-29;1;47;0;13;17;False
