date;Executive pay and bonuses;Chicken;True crime (Podcasts);Design;air travel;isPartial
2022-01-02;0;93;0;35;1;False
2022-01-09;0;96;0;42;1;False
2022-01-16;0;83;0;35;1;False
2022-01-23;0;92;0;39;1;False
2022-01-30;0;100;0;41;1;False
2022-02-06;0;84;0;39;1;False
2022-02-13;0;81;0;34;1;False
2022-02-20;0;82;0;36;1;False
2022-02-27;0;83;0;35;1;False
2022-03-06;0;83;0;39;1;False
2022-03-13;0;81;0;38;1;False
2022-03-20;0;82;0;42;1;False
2022-03-27;0;78;0;38;1;False
2022-04-03;0;80;0;38;1;False
2022-04-10;0;79;0;34;1;False
2022-04-17;0;75;0;33;1;False
2022-04-24;0;79;0;38;1;False
2022-05-01;0;73;0;42;1;False
2022-05-08;0;80;0;39;1;False
2022-05-15;0;80;0;38;1;False
2022-05-22;0;81;0;34;1;False
2022-05-29;0;87;0;31;1;False
2022-06-05;0;84;0;36;1;False
2022-06-12;0;78;0;36;1;False
2022-06-19;0;77;0;33;1;False
2022-06-26;0;72;0;32;1;False
2022-07-03;0;74;0;33;1;False
2022-07-10;0;72;0;36;1;False
2022-07-17;0;68;0;32;1;False
2022-07-24;0;79;0;32;1;False
2022-07-31;0;73;0;32;1;False
2022-08-07;0;76;0;32;1;False
2022-08-14;0;70;0;31;1;False
2022-08-21;0;73;0;33;1;False
2022-08-28;0;81;0;32;1;False
2022-09-04;0;76;0;35;1;False
2022-09-11;0;74;0;37;1;False
2022-09-18;0;81;0;35;1;False
2022-09-25;0;84;0;34;1;False
2022-10-02;0;84;0;35;1;False
2022-10-09;0;83;0;43;1;False
2022-10-16;0;83;0;35;1;False
2022-10-23;0;91;0;37;1;False
2022-10-30;0;83;0;35;1;False
2022-11-06;0;85;0;36;1;False
2022-11-13;0;83;0;35;1;False
2022-11-20;0;73;0;32;1;False
2022-11-27;0;75;0;35;1;False
2022-12-04;0;71;0;32;1;False
2022-12-11;0;70;0;32;1;False
2022-12-18;0;75;0;26;1;False
2022-12-25;0;71;0;25;1;False
2023-01-01;0;90;0;34;1;False
2023-01-08;0;85;0;38;1;False
2023-01-15;0;97;0;40;1;False
2023-01-22;0;90;0;42;1;False
2023-01-29;0;91;0;39;1;False
