date;Leslie Jones;Brentford;Winter Olympics;Domestic workers;air travel;isPartial
2022-01-02;0;12;3;0;2;False
2022-01-09;0;15;4;0;2;False
2022-01-16;0;42;5;0;2;False
2022-01-23;0;8;7;0;2;False
2022-01-30;0;12;100;0;2;False
2022-02-06;0;11;49;0;2;False
2022-02-13;0;12;43;0;2;False
2022-02-20;0;14;16;0;2;False
2022-02-27;0;8;2;0;2;False
2022-03-06;0;9;2;0;2;False
2022-03-13;0;6;1;0;2;False
2022-03-20;0;8;1;0;2;False
2022-03-27;0;14;1;0;2;False
2022-04-03;0;8;0;0;2;False
2022-04-10;0;16;1;0;2;False
2022-04-17;0;15;1;0;2;False
2022-04-24;0;6;0;0;2;False
2022-05-01;0;27;0;0;2;False
2022-05-08;0;6;0;0;2;False
2022-05-15;0;16;0;0;2;False
2022-05-22;0;12;0;0;2;False
2022-05-29;0;5;0;0;2;False
2022-06-05;0;5;0;0;2;False
2022-06-12;0;5;0;0;2;False
2022-06-19;0;5;0;0;2;False
2022-06-26;0;5;0;0;2;False
2022-07-03;0;7;0;0;2;False
2022-07-10;0;8;0;0;2;False
2022-07-17;0;8;0;0;2;False
2022-07-24;0;8;1;0;2;False
2022-07-31;0;8;1;0;2;False
2022-08-07;0;44;1;0;2;False
2022-08-14;0;18;0;0;2;False
2022-08-21;0;12;0;0;1;False
2022-08-28;0;18;0;0;2;False
2022-09-04;0;7;0;0;2;False
2022-09-11;0;7;0;0;1;False
2022-09-18;0;21;0;0;1;False
2022-09-25;0;6;0;0;1;False
2022-10-02;0;10;0;0;1;False
2022-10-09;0;14;0;0;1;False
2022-10-16;0;12;0;0;1;False
2022-10-23;0;14;1;0;1;False
2022-10-30;0;8;0;0;1;False
2022-11-06;0;27;0;0;1;False
2022-11-13;0;7;0;0;1;False
2022-11-20;0;4;1;0;1;False
2022-11-27;0;4;1;0;1;False
2022-12-04;0;4;1;0;1;False
2022-12-11;0;5;1;0;1;False
2022-12-18;0;6;1;0;1;False
2022-12-25;0;30;1;0;1;False
2023-01-01;0;50;1;0;2;False
2023-01-08;0;14;1;0;2;False
2023-01-15;0;7;1;0;1;False
2023-01-22;0;12;1;0;1;False
2023-01-29;0;8;1;0;1;False
