date;Hugh Bonneville;Royal Academy of Music;Choral music;Neil Young;air travel;isPartial
2022-01-02;4;1;3;12;25;False
2022-01-09;2;3;1;11;27;False
2022-01-16;2;2;1;11;21;False
2022-01-23;2;2;2;100;23;False
2022-01-30;10;1;1;62;26;False
2022-02-06;4;3;1;17;27;False
2022-02-13;3;2;1;13;27;False
2022-02-20;1;2;1;13;27;False
2022-02-27;3;2;1;7;24;False
2022-03-06;2;2;1;11;25;False
2022-03-13;2;2;1;9;25;False
2022-03-20;2;2;1;8;24;False
2022-03-27;1;1;2;10;26;False
2022-04-03;2;1;2;9;24;False
2022-04-10;2;2;1;8;20;False
2022-04-17;3;2;1;8;23;False
2022-04-24;5;2;2;10;23;False
2022-05-01;5;2;2;10;24;False
2022-05-08;3;2;2;9;25;False
2022-05-15;2;2;1;9;26;False
2022-05-22;3;2;1;9;24;False
2022-05-29;2;2;0;9;25;False
2022-06-05;2;2;2;9;28;False
2022-06-12;3;2;1;10;24;False
2022-06-19;2;2;1;11;23;False
2022-06-26;3;1;1;9;24;False
2022-07-03;2;2;1;10;25;False
2022-07-10;3;2;1;11;26;False
2022-07-17;2;2;1;10;25;False
2022-07-24;3;0;1;11;25;False
2022-07-31;2;1;1;11;22;False
2022-08-07;2;2;1;11;22;False
2022-08-14;4;1;1;7;21;False
2022-08-21;7;1;1;9;19;False
2022-08-28;22;1;0;9;20;False
2022-09-04;19;2;3;11;22;False
2022-09-11;11;2;3;8;19;False
2022-09-18;8;2;2;7;18;False
2022-09-25;7;2;1;8;19;False
2022-10-02;15;2;1;9;18;False
2022-10-09;9;2;1;10;17;False
2022-10-16;6;2;1;9;16;False
2022-10-23;6;2;2;10;15;False
2022-10-30;5;2;2;10;15;False
2022-11-06;7;2;1;14;16;False
2022-11-13;4;2;2;15;14;False
2022-11-20;8;2;1;11;17;False
2022-11-27;3;2;2;14;17;False
2022-12-04;3;3;1;13;14;False
2022-12-11;2;2;1;8;15;False
2022-12-18;7;2;2;10;14;False
2022-12-25;7;2;1;11;18;False
2023-01-01;8;2;1;11;21;False
2023-01-08;4;3;1;9;20;False
2023-01-15;4;3;1;13;19;False
2023-01-22;4;2;1;11;18;False
2023-01-29;5;3;1;9;19;False
