date;Sauces and gravies;Satellites;Andrew Bailey;ExxonMobil;air travel;isPartial
2022-01-02;0;21;0;7;87;False
2022-01-09;0;27;0;9;100;False
2022-01-16;0;25;0;14;74;False
2022-01-23;0;23;0;12;82;False
2022-01-30;0;25;0;14;94;False
2022-02-06;0;30;0;10;93;False
2022-02-13;0;28;0;9;94;False
2022-02-20;0;35;0;11;95;False
2022-02-27;0;68;0;13;83;False
2022-03-06;0;29;0;16;88;False
2022-03-13;0;30;0;10;87;False
2022-03-20;0;32;0;8;85;False
2022-03-27;0;24;0;7;90;False
2022-04-03;0;21;0;7;84;False
2022-04-10;0;16;0;6;71;False
2022-04-17;0;25;0;5;78;False
2022-04-24;0;21;0;8;82;False
2022-05-01;0;26;0;11;84;False
2022-05-08;0;24;0;10;87;False
2022-05-15;0;26;0;8;90;False
2022-05-22;0;25;0;10;85;False
2022-05-29;0;23;0;6;87;False
2022-06-05;0;17;0;13;97;False
2022-06-12;0;20;0;9;87;False
2022-06-19;0;34;0;5;79;False
2022-06-26;0;19;0;9;85;False
2022-07-03;0;23;0;8;89;False
2022-07-10;0;28;0;7;92;False
2022-07-17;0;23;0;8;88;False
2022-07-24;0;21;0;11;87;False
2022-07-31;0;21;0;11;78;False
2022-08-07;0;51;0;7;76;False
2022-08-14;0;31;0;7;75;False
2022-08-21;0;28;0;6;65;False
2022-08-28;0;24;0;7;72;False
2022-09-04;0;21;0;9;77;False
2022-09-11;0;25;0;8;67;False
2022-09-18;0;26;0;7;66;False
2022-09-25;0;26;0;9;66;False
2022-10-02;0;22;0;13;63;False
2022-10-09;0;23;0;8;62;False
2022-10-16;0;25;0;11;55;False
2022-10-23;0;26;0;11;52;False
2022-10-30;0;20;0;14;51;False
2022-11-06;0;29;0;12;58;False
2022-11-13;0;22;0;12;48;False
2022-11-20;0;20;0;6;60;False
2022-11-27;0;17;0;7;59;False
2022-12-04;0;16;0;10;50;False
2022-12-11;0;23;0;12;52;False
2022-12-18;0;24;0;8;48;False
2022-12-25;0;20;0;7;64;False
2023-01-01;0;18;0;7;74;False
2023-01-08;0;40;0;9;69;False
2023-01-15;0;23;0;7;67;False
2023-01-22;0;21;0;11;62;False
2023-01-29;0;25;0;13;67;False
