date;Naomi Osaka;US school shootings;Elon Musk;Office for National Statistics;air travel;isPartial
2022-01-02;1;0;12;0;3;False
2022-01-09;0;0;9;1;4;False
2022-01-16;2;0;11;1;3;False
2022-01-23;1;0;11;1;3;False
2022-01-30;0;0;10;0;4;False
2022-02-06;0;0;9;0;4;False
2022-02-13;0;0;11;0;4;False
2022-02-20;0;0;9;0;4;False
2022-02-27;1;0;15;0;3;False
2022-03-06;1;0;31;0;3;False
2022-03-13;2;0;16;0;3;False
2022-03-20;1;0;10;0;3;False
2022-03-27;2;0;8;0;3;False
2022-04-03;0;0;19;0;3;False
2022-04-10;0;0;34;0;3;False
2022-04-17;0;0;29;0;3;False
2022-04-24;0;0;100;0;3;False
2022-05-01;0;0;36;0;3;False
2022-05-08;0;0;29;0;3;False
2022-05-15;0;0;33;0;3;False
2022-05-22;1;1;18;0;3;False
2022-05-29;0;0;22;0;3;False
2022-06-05;0;0;13;0;4;False
2022-06-12;0;0;12;0;3;False
2022-06-19;1;0;20;0;3;False
2022-06-26;1;0;11;0;3;False
2022-07-03;1;0;16;0;3;False
2022-07-10;0;0;17;0;4;False
2022-07-17;0;0;14;0;3;False
2022-07-24;0;0;13;0;3;False
2022-07-31;1;0;10;0;3;False
2022-08-07;1;0;11;0;3;False
2022-08-14;0;0;18;0;3;False
2022-08-21;0;0;10;0;2;False
2022-08-28;1;0;9;0;3;False
2022-09-04;0;0;10;0;3;False
2022-09-11;0;0;8;0;3;False
2022-09-18;1;0;9;0;2;False
2022-09-25;0;0;8;0;3;False
2022-10-02;0;0;18;0;2;False
2022-10-09;0;0;20;0;2;False
2022-10-16;0;0;17;0;2;False
2022-10-23;0;0;47;0;2;False
2022-10-30;0;0;43;0;2;False
2022-11-06;0;0;32;1;2;False
2022-11-13;0;0;29;0;2;False
2022-11-20;0;0;18;0;2;False
2022-11-27;0;0;17;0;2;False
2022-12-04;0;0;15;0;2;False
2022-12-11;0;0;20;0;2;False
2022-12-18;0;0;29;0;2;False
2022-12-25;0;0;16;0;2;False
2023-01-01;0;0;14;1;3;False
2023-01-08;6;0;13;0;3;False
2023-01-15;1;0;10;0;3;False
2023-01-22;0;0;9;0;2;False
2023-01-29;0;0;10;0;3;False
