date;essex;Bristol;Fashion weeks;Stan;air travel;isPartial
2022-01-02;26;80;0;0;1;False
2022-01-09;23;81;0;0;1;False
2022-01-16;23;81;0;0;1;False
2022-01-23;25;81;0;0;1;False
2022-01-30;26;83;0;0;1;False
2022-02-06;24;83;0;0;1;False
2022-02-13;26;88;0;0;1;False
2022-02-20;24;91;0;0;1;False
2022-02-27;23;79;0;0;1;False
2022-03-06;26;81;0;0;1;False
2022-03-13;24;83;0;0;1;False
2022-03-20;25;86;0;0;1;False
2022-03-27;23;82;0;0;1;False
2022-04-03;22;83;0;5;1;False
2022-04-10;23;86;0;4;1;False
2022-04-17;22;85;0;4;1;False
2022-04-24;24;75;0;4;1;False
2022-05-01;27;97;0;5;1;False
2022-05-08;25;85;0;4;1;False
2022-05-15;26;88;0;4;1;False
2022-05-22;24;89;0;4;1;False
2022-05-29;24;97;0;4;1;False
2022-06-05;24;89;0;3;1;False
2022-06-12;23;83;0;4;1;False
2022-06-19;22;90;0;4;1;False
2022-06-26;23;86;0;4;1;False
2022-07-03;24;80;0;4;1;False
2022-07-10;25;92;0;4;1;False
2022-07-17;27;92;0;3;1;False
2022-07-24;25;97;0;4;1;False
2022-07-31;26;91;0;3;1;False
2022-08-07;27;97;0;4;1;False
2022-08-14;23;85;0;3;1;False
2022-08-21;26;88;0;3;1;False
2022-08-28;24;98;0;3;1;False
2022-09-04;24;91;0;3;1;False
2022-09-11;23;100;0;4;1;False
2022-09-18;23;81;0;3;1;False
2022-09-25;24;83;0;3;1;False
2022-10-02;24;86;0;3;1;False
2022-10-09;22;90;0;3;1;False
2022-10-16;23;81;0;3;1;False
2022-10-23;22;84;0;3;1;False
2022-10-30;22;79;0;4;1;False
2022-11-06;22;83;0;3;1;False
2022-11-13;19;76;0;3;1;False
2022-11-20;18;67;0;3;1;False
2022-11-27;20;74;0;3;1;False
2022-12-04;19;71;0;3;1;False
2022-12-11;22;78;0;3;1;False
2022-12-18;19;68;0;3;1;False
2022-12-25;18;73;0;4;1;False
2023-01-01;21;80;0;4;1;False
2023-01-08;22;80;0;3;1;False
2023-01-15;24;84;0;3;1;False
2023-01-22;22;81;0;3;1;False
2023-01-29;24;88;0;4;1;False
