date;Associated Press;Meta;Horror (TV);Kevin De Bruyne;air travel;isPartial
2022-01-02;0;29;2;2;8;False
2022-01-09;1;27;1;4;9;False
2022-01-16;0;24;2;2;7;False
2022-01-23;1;27;1;2;7;False
2022-01-30;0;46;1;1;8;False
2022-02-06;1;36;1;2;8;False
2022-02-13;1;29;2;2;8;False
2022-02-20;1;29;1;2;9;False
2022-02-27;2;26;1;1;7;False
2022-03-06;1;27;1;6;8;False
2022-03-13;1;26;1;2;8;False
2022-03-20;1;24;1;2;8;False
2022-03-27;1;24;1;2;8;False
2022-04-03;0;24;1;3;7;False
2022-04-10;1;24;1;11;6;False
2022-04-17;0;25;1;4;7;False
2022-04-24;1;33;1;4;7;False
2022-05-01;1;28;1;5;8;False
2022-05-08;0;27;1;12;8;False
2022-05-15;0;26;1;4;8;False
2022-05-22;1;27;1;5;8;False
2022-05-29;0;24;1;3;8;False
2022-06-05;0;29;1;2;9;False
2022-06-12;0;29;1;2;8;False
2022-06-19;0;29;1;2;7;False
2022-06-26;0;27;1;2;8;False
2022-07-03;0;28;1;2;8;False
2022-07-10;0;29;1;1;8;False
2022-07-17;0;29;1;2;8;False
2022-07-24;1;36;1;2;8;False
2022-07-31;0;31;2;2;7;False
2022-08-07;0;30;2;2;7;False
2022-08-14;0;27;2;3;7;False
2022-08-21;0;31;1;3;6;False
2022-08-28;0;31;1;4;6;False
2022-09-04;1;30;1;2;7;False
2022-09-11;0;34;1;3;6;False
2022-09-18;1;33;1;3;6;False
2022-09-25;1;37;2;2;6;False
2022-10-02;0;36;2;5;6;False
2022-10-09;0;46;2;2;6;False
2022-10-16;0;38;2;4;5;False
2022-10-23;0;70;3;5;5;False
2022-10-30;0;52;2;3;5;False
2022-11-06;1;88;1;3;5;False
2022-11-13;1;57;1;2;4;False
2022-11-20;1;44;1;6;5;False
2022-11-27;0;49;1;9;5;False
2022-12-04;0;44;1;2;4;False
2022-12-11;0;56;1;1;5;False
2022-12-18;0;54;2;3;4;False
2022-12-25;0;100;1;3;6;False
2023-01-01;0;48;1;3;7;False
2023-01-08;0;41;1;2;6;False
2023-01-15;1;42;1;2;6;False
2023-01-22;0;42;1;2;6;False
2023-01-29;0;63;1;2;6;False
