date;Environmental activism;brendan fraser;Airbnb;Coventry;air travel;isPartial
2022-01-02;0;1;52;78;3;False
2022-01-09;0;1;56;89;3;False
2022-01-16;0;2;53;78;2;False
2022-01-23;0;1;57;89;3;False
2022-01-30;0;1;59;88;3;False
2022-02-06;0;1;56;82;3;False
2022-02-13;0;1;51;77;3;False
2022-02-20;0;1;55;80;3;False
2022-02-27;0;2;59;77;3;False
2022-03-06;0;1;61;77;3;False
2022-03-13;0;1;52;89;3;False
2022-03-20;0;1;58;86;3;False
2022-03-27;0;1;59;76;3;False
2022-04-03;0;2;63;80;3;False
2022-04-10;0;2;58;82;2;False
2022-04-17;0;2;60;79;3;False
2022-04-24;0;3;61;71;3;False
2022-05-01;0;1;70;82;3;False
2022-05-08;0;1;65;77;3;False
2022-05-15;0;1;67;77;3;False
2022-05-22;0;2;69;86;3;False
2022-05-29;0;1;64;85;3;False
2022-06-05;0;1;65;80;3;False
2022-06-12;0;1;66;81;3;False
2022-06-19;0;1;68;81;3;False
2022-06-26;0;1;73;83;3;False
2022-07-03;0;1;67;79;3;False
2022-07-10;0;1;73;83;3;False
2022-07-17;0;1;70;89;3;False
2022-07-24;0;6;75;86;3;False
2022-07-31;0;2;71;97;3;False
2022-08-07;0;1;73;91;2;False
2022-08-14;0;1;65;84;2;False
2022-08-21;0;1;60;83;2;False
2022-08-28;0;2;59;94;2;False
2022-09-04;0;28;59;82;3;False
2022-09-11;0;8;56;86;2;False
2022-09-18;0;4;52;79;2;False
2022-09-25;0;2;48;86;2;False
2022-10-02;0;1;53;85;2;False
2022-10-09;0;4;51;86;2;False
2022-10-16;0;2;49;83;2;False
2022-10-23;0;2;47;89;2;False
2022-10-30;0;2;43;83;2;False
2022-11-06;0;2;45;88;2;False
2022-11-13;0;4;43;75;2;False
2022-11-20;0;2;37;71;2;False
2022-11-27;0;1;38;71;2;False
2022-12-04;0;2;34;78;2;False
2022-12-11;0;3;33;77;2;False
2022-12-18;0;4;41;79;2;False
2022-12-25;0;3;54;81;2;False
2023-01-01;0;3;67;100;2;False
2023-01-08;0;3;69;77;2;False
2023-01-15;0;12;63;90;2;False
2023-01-22;0;11;64;81;2;False
2023-01-29;0;6;65;86;2;False
