date;Jermyn Street Theatre;Toby Jones;Rhod Gilbert;meta;air travel;isPartial
2022-01-02;0;4;1;29;8;False
2022-01-09;0;2;1;27;9;False
2022-01-16;0;1;1;24;7;False
2022-01-23;0;1;1;27;7;False
2022-01-30;0;1;1;47;8;False
2022-02-06;0;1;1;36;8;False
2022-02-13;0;0;1;29;8;False
2022-02-20;0;0;1;29;9;False
2022-02-27;0;1;1;26;7;False
2022-03-06;0;1;1;27;8;False
2022-03-13;0;1;1;26;8;False
2022-03-20;0;1;1;24;8;False
2022-03-27;0;1;1;24;8;False
2022-04-03;0;1;1;24;7;False
2022-04-10;0;1;1;24;6;False
2022-04-17;0;1;1;25;7;False
2022-04-24;0;0;1;33;7;False
2022-05-01;0;1;1;28;8;False
2022-05-08;0;0;1;27;8;False
2022-05-15;0;1;1;26;8;False
2022-05-22;0;1;2;27;8;False
2022-05-29;0;1;1;24;8;False
2022-06-05;0;2;1;29;9;False
2022-06-12;0;1;2;29;8;False
2022-06-19;0;1;1;29;7;False
2022-06-26;0;1;1;27;8;False
2022-07-03;0;1;1;28;8;False
2022-07-10;0;1;29;29;8;False
2022-07-17;0;1;6;29;8;False
2022-07-24;0;1;2;36;8;False
2022-07-31;0;1;2;31;7;False
2022-08-07;0;1;2;30;7;False
2022-08-14;0;1;1;27;7;False
2022-08-21;0;1;8;31;6;False
2022-08-28;0;1;2;31;6;False
2022-09-04;0;1;2;30;7;False
2022-09-11;0;1;2;34;6;False
2022-09-18;0;1;2;33;6;False
2022-09-25;0;1;2;37;6;False
2022-10-02;0;6;2;36;6;False
2022-10-09;0;1;1;46;6;False
2022-10-16;0;1;1;38;5;False
2022-10-23;0;2;2;70;5;False
2022-10-30;0;1;1;52;5;False
2022-11-06;0;1;2;88;5;False
2022-11-13;0;2;2;57;4;False
2022-11-20;0;1;1;44;5;False
2022-11-27;0;1;2;49;5;False
2022-12-04;0;2;10;44;4;False
2022-12-11;0;1;31;56;5;False
2022-12-18;0;3;7;54;4;False
2022-12-25;0;5;10;100;6;False
2023-01-01;0;4;8;48;7;False
2023-01-08;0;3;3;41;6;False
2023-01-15;0;3;3;42;6;False
2023-01-22;0;2;2;42;6;False
2023-01-29;0;2;2;63;6;False
