date;Australia cost of living crisis;Seattle Seahawks;Autism;Apple;air travel;isPartial
2022-01-02;0;0;7;83;1;False
2022-01-09;0;0;8;74;1;False
2022-01-16;0;0;8;67;1;False
2022-01-23;0;0;8;67;1;False
2022-01-30;0;0;9;69;1;False
2022-02-06;0;0;8;63;1;False
2022-02-13;0;0;8;60;1;False
2022-02-20;0;0;7;61;1;False
2022-02-27;0;0;8;62;1;False
2022-03-06;0;0;8;70;1;False
2022-03-13;0;0;9;64;1;False
2022-03-20;0;0;9;63;1;False
2022-03-27;0;0;10;58;1;False
2022-04-03;0;0;9;60;1;False
2022-04-10;0;0;8;60;1;False
2022-04-17;0;0;8;56;1;False
2022-04-24;0;0;8;61;1;False
2022-05-01;0;0;8;63;1;False
2022-05-08;0;0;9;62;1;False
2022-05-15;0;0;9;61;1;False
2022-05-22;0;0;7;59;1;False
2022-05-29;0;0;7;59;1;False
2022-06-05;0;0;8;70;1;False
2022-06-12;0;0;9;59;1;False
2022-06-19;0;0;8;61;1;False
2022-06-26;0;0;8;58;1;False
2022-07-03;0;0;8;61;1;False
2022-07-10;0;0;8;65;1;False
2022-07-17;0;0;7;58;1;False
2022-07-24;0;0;7;67;1;False
2022-07-31;0;0;7;60;1;False
2022-08-07;0;0;8;69;1;False
2022-08-14;0;0;8;78;1;False
2022-08-21;0;0;7;74;1;False
2022-08-28;0;0;8;76;1;False
2022-09-04;0;0;8;100;1;False
2022-09-11;0;0;8;96;1;False
2022-09-18;0;0;8;83;1;False
2022-09-25;0;0;8;89;1;False
2022-10-02;0;0;9;83;1;False
2022-10-09;0;0;8;80;1;False
2022-10-16;0;0;9;77;1;False
2022-10-23;0;0;7;80;1;False
2022-10-30;0;0;8;75;0;False
2022-11-06;0;0;9;78;1;False
2022-11-13;0;0;9;78;0;False
2022-11-20;0;0;8;87;1;False
2022-11-27;0;0;8;76;1;False
2022-12-04;0;0;8;66;0;False
2022-12-11;0;0;8;65;1;False
2022-12-18;0;0;7;74;0;False
2022-12-25;0;0;7;86;1;False
2023-01-01;0;0;9;75;1;False
2023-01-08;0;0;9;68;1;False
2023-01-15;0;0;10;64;1;False
2023-01-22;0;0;10;65;1;False
2023-01-29;0;0;9;64;1;False
