date;Jenna Coleman;Chatbots;Gervonta Davis;Diving;air travel;isPartial
2022-01-02;4;0;1;27;13;False
2022-01-09;4;1;0;28;14;False
2022-01-16;3;0;0;26;11;False
2022-01-23;4;0;0;26;12;False
2022-01-30;3;1;0;28;14;False
2022-02-06;3;0;0;27;14;False
2022-02-13;3;0;1;26;14;False
2022-02-20;3;1;1;28;14;False
2022-02-27;2;1;1;26;13;False
2022-03-06;3;0;1;25;13;False
2022-03-13;5;1;0;27;13;False
2022-03-20;3;1;1;29;13;False
2022-03-27;2;1;1;26;14;False
2022-04-03;2;0;1;29;12;False
2022-04-10;3;0;2;29;11;False
2022-04-17;3;1;2;30;12;False
2022-04-24;3;1;1;29;12;False
2022-05-01;3;1;1;31;13;False
2022-05-08;3;1;2;32;13;False
2022-05-15;2;1;2;30;14;False
2022-05-22;4;0;11;30;13;False
2022-05-29;5;0;24;31;13;False
2022-06-05;5;0;4;32;15;False
2022-06-12;3;1;1;32;13;False
2022-06-19;2;0;1;34;12;False
2022-06-26;2;0;1;37;13;False
2022-07-03;3;0;1;32;13;False
2022-07-10;3;0;1;36;14;False
2022-07-17;3;0;3;36;13;False
2022-07-24;3;0;1;41;13;False
2022-07-31;6;1;1;100;12;False
2022-08-07;10;0;1;65;12;False
2022-08-14;6;0;1;60;11;False
2022-08-21;5;0;1;48;10;False
2022-08-28;4;0;1;42;11;False
2022-09-04;4;1;1;36;12;False
2022-09-11;5;0;1;32;10;False
2022-09-18;3;0;1;30;10;False
2022-09-25;2;1;1;29;10;False
2022-10-02;3;0;1;29;10;False
2022-10-09;3;1;1;29;9;False
2022-10-16;3;0;1;26;8;False
2022-10-23;3;1;1;28;8;False
2022-10-30;3;1;1;24;8;False
2022-11-06;10;1;2;28;9;False
2022-11-13;6;1;4;27;7;False
2022-11-20;4;1;3;21;9;False
2022-11-27;3;1;2;23;9;False
2022-12-04;4;1;2;23;8;False
2022-12-11;4;1;2;22;8;False
2022-12-18;5;0;2;25;7;False
2022-12-25;4;0;8;29;10;False
2023-01-01;5;1;10;29;11;False
2023-01-08;4;0;23;32;10;False
2023-01-15;4;1;7;31;10;False
2023-01-22;9;1;3;28;9;False
2023-01-29;10;1;3;30;10;False
