date;Search engines;Scandinavian food and drink;Romania holidays;elvis presley;air travel;isPartial
2022-01-02;2;0;1;26;8;False
2022-01-09;2;0;0;15;9;False
2022-01-16;2;0;0;11;7;False
2022-01-23;1;0;0;11;8;False
2022-01-30;2;0;0;10;9;False
2022-02-06;2;0;0;10;9;False
2022-02-13;2;0;1;13;9;False
2022-02-20;2;0;0;14;9;False
2022-02-27;2;0;0;11;8;False
2022-03-06;2;0;0;10;8;False
2022-03-13;1;0;0;9;8;False
2022-03-20;2;0;0;10;8;False
2022-03-27;2;0;0;10;9;False
2022-04-03;2;0;0;11;8;False
2022-04-10;2;0;0;12;7;False
2022-04-17;2;0;1;11;8;False
2022-04-24;1;0;0;10;8;False
2022-05-01;2;0;0;16;8;False
2022-05-08;2;0;0;11;8;False
2022-05-15;2;0;0;12;9;False
2022-05-22;2;0;0;16;8;False
2022-05-29;2;0;1;20;8;False
2022-06-05;2;0;0;20;9;False
2022-06-12;2;0;0;22;8;False
2022-06-19;2;0;0;35;8;False
2022-06-26;2;0;0;47;8;False
2022-07-03;2;0;0;35;9;False
2022-07-10;2;0;0;29;9;False
2022-07-17;2;0;0;30;8;False
2022-07-24;2;0;0;33;8;False
2022-07-31;1;0;0;26;8;False
2022-08-07;1;0;0;54;7;False
2022-08-14;1;0;1;67;7;False
2022-08-21;2;0;0;35;6;False
2022-08-28;2;0;0;33;7;False
2022-09-04;2;0;0;26;7;False
2022-09-11;2;0;0;20;6;False
2022-09-18;2;0;0;20;6;False
2022-09-25;2;0;0;18;6;False
2022-10-02;2;0;0;16;6;False
2022-10-09;2;0;0;18;6;False
2022-10-16;2;0;0;19;5;False
2022-10-23;1;0;0;19;5;False
2022-10-30;2;0;0;16;5;False
2022-11-06;2;0;0;14;6;False
2022-11-13;2;0;0;11;5;False
2022-11-20;2;0;0;12;6;False
2022-11-27;2;0;1;12;6;False
2022-12-04;1;0;0;14;5;False
2022-12-11;1;0;0;12;5;False
2022-12-18;1;0;0;14;5;False
2022-12-25;2;0;1;25;6;False
2023-01-01;2;0;1;19;7;False
2023-01-08;2;0;0;100;7;False
2023-01-15;2;0;0;32;6;False
2023-01-22;2;0;0;22;6;False
2023-01-29;2;0;1;18;6;False
