date;Bono;Sex;duchess of cambridge;Lithuania;air travel;isPartial
2023-01-01;1;92;0;1;1;False
2023-01-02;1;97;0;1;1;False
2023-01-03;1;79;0;1;1;False
2023-01-04;1;84;0;1;1;False
2023-01-05;1;78;0;1;1;False
2023-01-06;1;81;0;1;1;False
2023-01-07;1;85;0;1;1;False
2023-01-08;1;97;0;1;1;False
2023-01-09;1;77;0;1;1;False
2023-01-10;1;74;0;1;1;False
2023-01-11;1;74;0;2;1;False
2023-01-12;1;78;0;1;1;False
2023-01-13;1;74;0;4;1;False
2023-01-14;1;84;0;2;1;False
2023-01-15;1;89;0;1;1;False
2023-01-16;1;77;0;1;1;False
2023-01-17;1;88;0;2;1;False
2023-01-18;1;78;0;2;1;False
2023-01-19;1;70;0;1;1;False
2023-01-20;1;75;0;3;1;False
2023-01-21;1;88;0;1;1;False
2023-01-22;1;90;0;1;1;False
2023-01-23;1;79;0;2;1;False
2023-01-24;1;74;0;1;1;False
2023-01-25;1;68;0;1;1;False
2023-01-26;1;71;0;1;1;False
2023-01-27;1;72;0;2;1;False
2023-01-28;1;85;0;1;1;False
2023-01-29;1;100;0;1;1;False
2023-01-30;1;77;0;2;1;False
2023-01-31;1;73;0;2;1;False
