date;Research funding;Talk shows;Middlesex;Sean Connery;air travel;isPartial
2022-01-02;2;6;80;58;40;False
2022-01-09;3;6;81;30;44;False
2022-01-16;3;4;82;29;35;False
2022-01-23;5;7;85;34;38;False
2022-01-30;5;5;84;30;43;False
2022-02-06;5;5;79;23;43;False
2022-02-13;4;4;79;30;43;False
2022-02-20;4;4;83;25;44;False
2022-02-27;5;4;77;25;39;False
2022-03-06;5;6;77;20;41;False
2022-03-13;4;7;82;31;40;False
2022-03-20;4;7;84;27;40;False
2022-03-27;5;7;85;24;42;False
2022-04-03;4;7;84;17;38;False
2022-04-10;4;6;76;22;33;False
2022-04-17;4;5;76;40;37;False
2022-04-24;6;8;79;25;38;False
2022-05-01;3;6;88;30;39;False
2022-05-08;4;4;95;22;40;False
2022-05-15;3;5;93;25;42;False
2022-05-22;4;4;87;25;40;False
2022-05-29;3;7;73;32;40;False
2022-06-05;4;5;100;24;45;False
2022-06-12;3;4;98;22;39;False
2022-06-19;4;6;97;32;37;False
2022-06-26;5;5;95;20;39;False
2022-07-03;3;4;93;55;41;False
2022-07-10;4;4;91;30;43;False
2022-07-17;4;5;83;33;41;False
2022-07-24;4;4;79;35;41;False
2022-07-31;3;5;75;29;37;False
2022-08-07;3;4;74;38;35;False
2022-08-14;5;4;86;37;35;False
2022-08-21;3;5;74;46;30;False
2022-08-28;3;6;74;29;33;False
2022-09-04;3;4;77;20;36;False
2022-09-11;4;5;89;20;31;False
2022-09-18;4;6;83;24;30;False
2022-09-25;5;4;88;20;31;False
2022-10-02;5;3;88;26;29;False
2022-10-09;4;5;71;20;28;False
2022-10-16;3;4;70;22;26;False
2022-10-23;5;5;69;17;24;False
2022-10-30;5;4;70;22;24;False
2022-11-06;5;6;73;16;27;False
2022-11-13;5;5;67;42;22;False
2022-11-20;5;6;62;19;28;False
2022-11-27;4;5;67;17;27;False
2022-12-04;4;4;67;19;23;False
2022-12-11;4;4;68;18;24;False
2022-12-18;2;5;64;35;22;False
2022-12-25;1;3;49;35;30;False
2023-01-01;3;5;64;53;35;False
2023-01-08;4;6;79;24;32;False
2023-01-15;5;5;76;23;31;False
2023-01-22;5;5;82;20;29;False
2023-01-29;5;5;76;22;31;False
