date;Paris climate agreement;Marine life;Black Mirror;travel chaos;air travel;isPartial
2022-01-02;2;4;100;0;50;False
2022-01-09;2;2;90;1;55;False
2022-01-16;2;4;86;1;43;False
2022-01-23;2;5;93;0;47;False
2022-01-30;1;2;89;1;53;False
2022-02-06;2;5;84;2;53;False
2022-02-13;1;5;87;0;54;False
2022-02-20;2;5;97;1;55;False
2022-02-27;1;5;92;1;48;False
2022-03-06;2;6;83;0;51;False
2022-03-13;2;5;78;0;50;False
2022-03-20;2;6;76;0;49;False
2022-03-27;2;6;79;0;52;False
2022-04-03;1;5;72;6;47;False
2022-04-10;0;5;76;4;41;False
2022-04-17;2;7;70;1;46;False
2022-04-24;1;4;68;1;47;False
2022-05-01;3;5;78;1;49;False
2022-05-08;3;5;69;1;50;False
2022-05-15;1;5;90;0;52;False
2022-05-22;3;5;75;3;49;False
2022-05-29;2;6;78;13;50;False
2022-06-05;1;4;71;7;56;False
2022-06-12;1;5;67;3;49;False
2022-06-19;1;4;69;6;45;False
2022-06-26;2;5;68;3;49;False
2022-07-03;1;5;63;2;51;False
2022-07-10;1;4;73;2;53;False
2022-07-17;2;4;64;4;51;False
2022-07-24;0;6;74;4;50;False
2022-07-31;1;5;76;2;45;False
2022-08-07;1;6;73;2;44;False
2022-08-14;2;3;65;1;43;False
2022-08-21;1;5;75;2;38;False
2022-08-28;2;5;77;1;41;False
2022-09-04;2;5;75;0;45;False
2022-09-11;2;4;79;1;39;False
2022-09-18;2;5;73;1;37;False
2022-09-25;2;3;82;1;38;False
2022-10-02;1;4;78;0;36;False
2022-10-09;3;6;70;1;35;False
2022-10-16;3;2;76;0;32;False
2022-10-23;3;4;78;1;30;False
2022-10-30;3;3;79;0;29;False
2022-11-06;3;5;85;1;33;False
2022-11-13;2;4;91;0;28;False
2022-11-20;2;3;85;0;35;False
2022-11-27;1;5;77;0;34;False
2022-12-04;3;4;68;1;29;False
2022-12-11;4;3;68;2;30;False
2022-12-18;1;3;71;1;28;False
2022-12-25;1;2;85;1;37;False
2023-01-01;2;4;85;0;43;False
2023-01-08;1;5;77;0;40;False
2023-01-15;3;6;82;0;38;False
2023-01-22;2;4;80;0;36;False
2023-01-29;2;4;81;0;38;False
