date;Climate science scepticism and denial;Sergei Rachmaninov;N/A;Football violence;air travel;isPartial
2022-01-02;0;0;14;2;90;False
2022-01-09;0;2;13;3;98;False
2022-01-16;0;0;14;3;77;False
2022-01-23;0;1;18;2;84;False
2022-01-30;0;0;14;5;95;False
2022-02-06;0;0;15;4;96;False
2022-02-13;0;1;14;3;96;False
2022-02-20;0;0;14;5;98;False
2022-02-27;0;0;12;2;86;False
2022-03-06;0;0;14;12;90;False
2022-03-13;0;0;13;4;90;False
2022-03-20;0;2;14;3;88;False
2022-03-27;0;1;17;2;93;False
2022-04-03;0;0;11;3;85;False
2022-04-10;0;0;13;5;74;False
2022-04-17;0;0;14;2;82;False
2022-04-24;0;1;15;1;84;False
2022-05-01;0;0;10;2;87;False
2022-05-08;0;0;12;4;89;False
2022-05-15;0;0;12;5;93;False
2022-05-22;0;0;12;2;88;False
2022-05-29;0;0;7;4;90;False
2022-06-05;0;0;12;4;100;False
2022-06-12;0;0;13;1;87;False
2022-06-19;0;0;14;2;81;False
2022-06-26;0;0;11;1;87;False
2022-07-03;0;2;14;2;92;False
2022-07-10;0;0;13;1;95;False
2022-07-17;0;2;12;1;91;False
2022-07-24;0;0;14;1;90;False
2022-07-31;0;2;11;4;81;False
2022-08-07;0;0;12;2;78;False
2022-08-14;0;0;9;2;77;False
2022-08-21;0;2;12;1;67;False
2022-08-28;0;0;10;2;74;False
2022-09-04;0;1;14;4;80;False
2022-09-11;0;0;16;4;69;False
2022-09-18;0;0;14;2;66;False
2022-09-25;0;0;15;3;68;False
2022-10-02;0;1;18;4;65;False
2022-10-09;0;0;18;2;63;False
2022-10-16;0;0;12;3;57;False
2022-10-23;0;0;11;4;53;False
2022-10-30;0;1;18;4;53;False
2022-11-06;0;0;10;3;59;False
2022-11-13;0;0;14;3;50;False
2022-11-20;0;2;18;5;62;False
2022-11-27;0;0;14;7;61;False
2022-12-04;0;0;14;8;52;False
2022-12-11;0;0;16;5;53;False
2022-12-18;0;0;9;5;50;False
2022-12-25;0;0;10;4;66;False
2023-01-01;0;0;12;3;77;False
2023-01-08;0;0;16;2;71;False
2023-01-15;0;3;14;3;69;False
2023-01-22;0;0;15;2;64;False
2023-01-29;0;2;12;3;69;False
