date;Peak oil;South Pacific;David Pocock;Grimsby;air travel;isPartial
2022-01-02;0;2;0;55;7;False
2022-01-09;0;2;0;46;7;False
2022-01-16;0;2;0;50;6;False
2022-01-23;0;1;0;55;6;False
2022-01-30;0;1;0;61;7;False
2022-02-06;0;1;0;57;7;False
2022-02-13;0;1;0;56;7;False
2022-02-20;0;1;0;56;7;False
2022-02-27;0;2;0;57;7;False
2022-03-06;0;2;0;57;7;False
2022-03-13;0;1;0;58;7;False
2022-03-20;0;2;0;58;7;False
2022-03-27;0;2;0;58;7;False
2022-04-03;0;1;0;56;6;False
2022-04-10;0;1;0;61;6;False
2022-04-17;0;2;0;59;6;False
2022-04-24;0;2;0;55;6;False
2022-05-01;0;1;0;59;7;False
2022-05-08;0;2;0;62;7;False
2022-05-15;0;1;0;59;7;False
2022-05-22;0;2;1;87;7;False
2022-05-29;0;2;0;75;7;False
2022-06-05;0;1;0;100;8;False
2022-06-12;0;2;0;63;7;False
2022-06-19;0;1;0;59;6;False
2022-06-26;0;2;0;57;7;False
2022-07-03;0;2;0;67;7;False
2022-07-10;0;3;0;64;7;False
2022-07-17;0;4;0;65;7;False
2022-07-24;0;3;0;66;7;False
2022-07-31;0;9;0;63;6;False
2022-08-07;0;5;0;65;6;False
2022-08-14;0;4;0;67;6;False
2022-08-21;0;4;0;74;5;False
2022-08-28;0;2;0;67;6;False
2022-09-04;0;2;0;58;6;False
2022-09-11;0;3;0;59;5;False
2022-09-18;0;5;0;57;5;False
2022-09-25;0;2;0;62;5;False
2022-10-02;0;3;0;55;5;False
2022-10-09;0;2;0;55;5;False
2022-10-16;0;2;0;59;4;False
2022-10-23;0;2;0;64;4;False
2022-10-30;0;2;0;62;4;False
2022-11-06;0;2;0;59;5;False
2022-11-13;0;2;0;54;4;False
2022-11-20;0;1;0;53;5;False
2022-11-27;0;1;0;46;5;False
2022-12-04;0;1;0;52;4;False
2022-12-11;0;1;0;44;4;False
2022-12-18;0;1;0;56;4;False
2022-12-25;0;15;0;49;5;False
2023-01-01;0;1;0;60;6;False
2023-01-08;0;1;0;59;5;False
2023-01-15;0;1;0;58;5;False
2023-01-22;0;1;0;62;5;False
2023-01-29;0;2;0;65;5;False
