date;Trade unions;Sierra Leone;Connecticut;Oxford;air travel;isPartial
2023-01-01;0;0;0;30;1;False
2023-01-02;0;0;1;31;1;False
2023-01-03;0;0;0;31;1;False
2023-01-04;0;0;0;31;1;False
2023-01-05;0;0;0;31;1;False
2023-01-06;0;0;0;32;1;False
2023-01-07;0;0;0;27;1;False
2023-01-08;0;0;0;28;1;False
2023-01-09;0;0;0;100;0;False
2023-01-10;0;0;0;45;1;False
2023-01-11;0;0;0;32;1;False
2023-01-12;0;0;0;32;1;False
2023-01-13;0;0;0;28;1;False
2023-01-14;0;0;0;31;1;False
2023-01-15;0;0;0;29;1;False
2023-01-16;0;0;0;32;1;False
2023-01-17;0;0;0;29;1;False
2023-01-18;0;0;0;30;1;False
2023-01-19;0;1;0;31;1;False
2023-01-20;0;0;0;31;1;False
2023-01-21;0;1;0;36;1;False
2023-01-22;0;0;0;28;1;False
2023-01-23;0;0;0;32;1;False
2023-01-24;0;0;0;34;1;False
2023-01-25;0;0;0;32;1;False
2023-01-26;0;1;0;30;1;False
2023-01-27;0;1;0;32;0;False
2023-01-28;0;0;0;30;1;False
2023-01-29;0;0;0;29;1;False
2023-01-30;0;0;0;32;1;False
2023-01-31;0;0;0;33;1;False
