date;South Africa;Danny Boyle;Chris Bowen;davos;air travel;isPartial
2023-01-01;28;1;1;1;3;False
2023-01-02;29;1;0;2;4;False
2023-01-03;34;0;0;1;2;False
2023-01-04;38;0;0;2;4;False
2023-01-05;38;0;0;2;3;False
2023-01-06;39;0;0;2;3;False
2023-01-07;34;0;0;1;2;False
2023-01-08;35;0;0;2;4;False
2023-01-09;32;0;1;3;2;False
2023-01-10;33;0;0;3;3;False
2023-01-11;31;1;0;3;4;False
2023-01-12;34;0;0;3;3;False
2023-01-13;30;0;0;4;3;False
2023-01-14;28;0;0;2;2;False
2023-01-15;32;1;0;4;3;False
2023-01-16;40;0;0;15;3;False
2023-01-17;39;1;0;15;2;False
2023-01-18;35;1;0;15;3;False
2023-01-19;34;0;0;16;3;False
2023-01-20;34;1;0;15;2;False
2023-01-21;32;0;0;7;3;False
2023-01-22;35;1;0;5;3;False
2023-01-23;38;0;0;4;3;False
2023-01-24;33;1;0;4;2;False
2023-01-25;35;0;0;2;3;False
2023-01-26;33;1;0;3;3;False
2023-01-27;86;0;0;2;2;False
2023-01-28;33;0;0;0;3;False
2023-01-29;100;1;0;3;3;False
2023-01-30;34;0;0;3;4;False
2023-01-31;35;0;0;2;4;False
