date;india;Just Stop Oil;Jeff Bezos;Shinzo Abe;air travel;isPartial
2023-01-01;57;0;1;0;2;False
2023-01-02;60;0;1;0;2;False
2023-01-03;85;0;1;0;1;False
2023-01-04;59;0;1;0;2;False
2023-01-05;84;0;1;0;1;False
2023-01-06;59;0;1;0;1;False
2023-01-07;73;0;0;0;1;False
2023-01-08;61;0;1;0;2;False
2023-01-09;58;0;1;0;1;False
2023-01-10;94;0;1;0;2;False
2023-01-11;55;0;1;0;2;False
2023-01-12;84;0;2;0;1;False
2023-01-13;57;0;1;0;1;False
2023-01-14;57;0;1;0;1;False
2023-01-15;93;0;1;0;1;False
2023-01-16;59;0;1;0;1;False
2023-01-17;60;0;1;0;1;False
2023-01-18;100;0;1;0;2;False
2023-01-19;63;0;0;0;1;False
2023-01-20;60;0;1;0;1;False
2023-01-21;87;0;1;0;1;False
2023-01-22;62;1;1;0;1;False
2023-01-23;63;0;1;0;1;False
2023-01-24;98;0;1;0;1;False
2023-01-25;62;0;2;0;1;False
2023-01-26;63;0;1;0;1;False
2023-01-27;75;0;1;0;1;False
2023-01-28;59;0;1;0;1;False
2023-01-29;79;0;1;0;1;False
2023-01-30;65;0;1;0;2;False
2023-01-31;60;0;1;0;2;False
