date;Australia cost of living crisis;Chinatown;Sviatlana Tsikhanouskaya;New York Times;air travel;isPartial
2023-01-01;0;18;1;86;11;False
2023-01-02;0;18;0;81;13;False
2023-01-03;0;13;0;84;8;False
2023-01-04;0;15;0;90;12;False
2023-01-05;0;11;1;91;10;False
2023-01-06;0;14;0;100;10;False
2023-01-07;0;20;0;79;7;False
2023-01-08;0;17;0;89;12;False
2023-01-09;0;14;1;84;7;False
2023-01-10;0;12;0;86;11;False
2023-01-11;0;15;2;87;13;False
2023-01-12;0;13;0;89;10;False
2023-01-13;0;14;1;88;8;False
2023-01-14;0;22;0;78;8;False
2023-01-15;0;17;0;80;9;False
2023-01-16;0;15;0;82;10;False
2023-01-17;0;19;0;74;8;False
2023-01-18;0;18;0;76;11;False
2023-01-19;0;18;0;80;10;False
2023-01-20;0;27;0;80;8;False
2023-01-21;0;36;0;87;9;False
2023-01-22;0;51;0;85;10;False
2023-01-23;0;17;0;77;10;False
2023-01-24;0;14;0;80;8;False
2023-01-25;0;15;2;84;11;False
2023-01-26;0;12;0;74;10;False
2023-01-27;0;17;0;82;7;False
2023-01-28;0;25;0;80;9;False
2023-01-29;0;14;0;79;8;False
2023-01-30;0;16;0;74;14;False
2023-01-31;0;13;0;74;12;False
