date;Libel reform;Gun crime;Australia sport;US justice system;air travel;isPartial
2022-01-02;0;5;21;0;90;False
2022-01-09;0;5;22;1;98;False
2022-01-16;0;6;13;1;77;False
2022-01-23;0;4;11;1;84;False
2022-01-30;0;9;10;0;95;False
2022-02-06;0;5;8;0;96;False
2022-02-13;0;4;6;0;96;False
2022-02-20;0;7;7;0;98;False
2022-02-27;0;2;13;0;86;False
2022-03-06;0;4;11;0;90;False
2022-03-13;3;3;7;0;90;False
2022-03-20;0;6;11;1;88;False
2022-03-27;0;5;11;0;93;False
2022-04-03;0;8;10;2;85;False
2022-04-10;0;8;9;0;74;False
2022-04-17;0;3;8;0;82;False
2022-04-24;0;8;8;1;84;False
2022-05-01;1;5;7;0;87;False
2022-05-08;0;5;6;1;89;False
2022-05-15;0;8;10;0;93;False
2022-05-22;0;33;6;0;88;False
2022-05-29;0;14;7;2;90;False
2022-06-05;0;13;11;1;100;False
2022-06-12;0;9;9;1;87;False
2022-06-19;2;9;9;1;81;False
2022-06-26;0;8;25;0;87;False
2022-07-03;0;15;16;0;92;False
2022-07-10;0;9;14;0;95;False
2022-07-17;0;7;10;1;91;False
2022-07-24;0;8;5;1;90;False
2022-07-31;0;6;13;0;81;False
2022-08-07;0;7;9;0;78;False
2022-08-14;1;5;3;0;77;False
2022-08-21;0;21;7;0;67;False
2022-08-28;3;7;7;0;74;False
2022-09-04;1;7;7;2;80;False
2022-09-11;0;8;12;1;69;False
2022-09-18;0;7;12;0;66;False
2022-09-25;0;6;10;0;68;False
2022-10-02;1;5;10;2;65;False
2022-10-09;0;9;23;0;63;False
2022-10-16;0;7;11;0;57;False
2022-10-23;0;8;18;0;53;False
2022-10-30;0;7;17;1;53;False
2022-11-06;0;4;14;0;59;False
2022-11-13;0;6;21;1;50;False
2022-11-20;0;5;32;0;62;False
2022-11-27;0;4;24;0;61;False
2022-12-04;0;4;9;0;52;False
2022-12-11;0;7;6;0;53;False
2022-12-18;1;2;8;0;50;False
2022-12-25;0;9;12;1;66;False
2023-01-01;2;6;9;0;77;False
2023-01-08;0;10;10;1;71;False
2023-01-15;0;10;10;0;69;False
2023-01-22;0;8;8;1;64;False
2023-01-29;0;8;10;1;69;False
