date;Lachlan Murdoch;Lyon Women;Bowel cancer;Yvette Cooper;air travel;isPartial
2022-01-02;0;2;0;3;90;False
2022-01-09;0;1;0;4;98;False
2022-01-16;0;0;0;10;77;False
2022-01-23;1;0;0;6;84;False
2022-01-30;0;0;0;9;95;False
2022-02-06;0;1;0;3;96;False
2022-02-13;3;2;0;14;96;False
2022-02-20;2;0;0;7;98;False
2022-02-27;0;2;0;10;86;False
2022-03-06;3;0;0;17;90;False
2022-03-13;0;2;0;5;90;False
2022-03-20;1;4;0;2;88;False
2022-03-27;2;7;0;2;93;False
2022-04-03;1;1;0;6;85;False
2022-04-10;3;2;0;12;74;False
2022-04-17;2;1;0;11;82;False
2022-04-24;3;2;0;5;84;False
2022-05-01;0;1;0;7;87;False
2022-05-08;1;1;0;7;89;False
2022-05-15;0;12;0;8;93;False
2022-05-22;0;4;0;3;88;False
2022-05-29;2;2;0;7;90;False
2022-06-05;0;0;0;18;100;False
2022-06-12;0;2;0;21;87;False
2022-06-19;5;1;0;5;81;False
2022-06-26;3;2;0;3;87;False
2022-07-03;0;1;0;13;92;False
2022-07-10;1;3;0;15;95;False
2022-07-17;0;0;0;3;91;False
2022-07-24;0;0;0;2;90;False
2022-07-31;0;4;0;4;81;False
2022-08-07;2;0;0;4;78;False
2022-08-14;0;4;0;6;77;False
2022-08-21;2;1;0;2;67;False
2022-08-28;2;1;0;2;74;False
2022-09-04;0;2;0;3;80;False
2022-09-11;0;3;0;4;69;False
2022-09-18;1;2;0;1;66;False
2022-09-25;0;2;0;12;68;False
2022-10-02;0;1;0;4;65;False
2022-10-09;0;1;0;13;63;False
2022-10-16;1;8;0;38;57;False
2022-10-23;0;0;0;20;53;False
2022-10-30;1;3;0;41;53;False
2022-11-06;2;3;0;9;59;False
2022-11-13;3;0;0;5;50;False
2022-11-20;1;6;0;5;62;False
2022-11-27;2;1;0;6;61;False
2022-12-04;0;4;0;5;52;False
2022-12-11;0;11;0;3;53;False
2022-12-18;0;4;0;13;50;False
2022-12-25;0;1;0;5;66;False
2023-01-01;0;1;0;2;77;False
2023-01-08;1;2;0;7;71;False
2023-01-15;1;4;0;13;69;False
2023-01-22;2;0;0;17;64;False
2023-01-29;0;3;0;8;69;False
