date;Hedge funds;brazil;Hackney;Rishi Sunak;air travel;isPartial
2022-01-02;0;5;5;1;1;False
2022-01-09;0;8;5;2;1;False
2022-01-16;0;5;5;2;1;False
2022-01-23;0;10;5;1;1;False
2022-01-30;0;7;6;4;1;False
2022-02-06;0;6;6;2;1;False
2022-02-13;0;6;6;1;1;False
2022-02-20;0;6;6;1;1;False
2022-02-27;0;5;6;0;1;False
2022-03-06;0;6;5;1;1;False
2022-03-13;0;6;7;1;1;False
2022-03-20;0;9;6;11;1;False
2022-03-27;0;9;6;4;1;False
2022-04-03;0;6;6;8;1;False
2022-04-10;0;5;6;7;1;False
2022-04-17;0;5;6;1;1;False
2022-04-24;0;5;6;2;1;False
2022-05-01;0;7;7;1;1;False
2022-05-08;0;6;6;1;1;False
2022-05-15;0;6;7;1;1;False
2022-05-22;0;6;8;4;1;False
2022-05-29;0;9;5;1;1;False
2022-06-05;0;9;5;1;1;False
2022-06-12;0;7;6;1;1;False
2022-06-19;0;6;6;1;1;False
2022-06-26;0;6;6;0;1;False
2022-07-03;0;5;5;23;1;False
2022-07-10;0;5;6;18;1;False
2022-07-17;0;5;6;16;1;False
2022-07-24;0;5;5;12;1;False
2022-07-31;0;5;5;6;1;False
2022-08-07;0;5;5;5;1;False
2022-08-14;0;5;5;3;1;False
2022-08-21;0;5;5;3;1;False
2022-08-28;0;5;6;3;1;False
2022-09-04;0;6;6;7;1;False
2022-09-11;0;6;6;1;1;False
2022-09-18;0;11;5;1;1;False
2022-09-25;0;10;6;3;1;False
2022-10-02;0;11;6;1;1;False
2022-10-09;0;6;6;2;1;False
2022-10-16;0;7;5;11;1;False
2022-10-23;0;7;5;96;1;False
2022-10-30;0;15;5;13;1;False
2022-11-06;0;19;5;8;1;False
2022-11-13;0;20;5;6;1;False
2022-11-20;0;56;5;3;1;False
2022-11-27;0;51;5;3;1;False
2022-12-04;0;100;5;3;1;False
2022-12-11;0;12;5;3;1;False
2022-12-18;0;10;5;3;1;False
2022-12-25;0;11;4;3;1;False
2023-01-01;0;9;5;6;1;False
2023-01-08;0;9;5;4;1;False
2023-01-15;0;9;5;4;1;False
2023-01-22;0;7;5;3;1;False
2023-01-29;0;6;5;4;1;False
