date;Chris Grayling;Conducting;mike pence;Baby names;air travel;isPartial
2022-01-02;0;6;1;61;23;False
2022-01-09;0;6;1;58;26;False
2022-01-16;0;6;1;59;19;False
2022-01-23;1;6;1;58;21;False
2022-01-30;0;7;3;100;24;False
2022-02-06;0;6;1;56;24;False
2022-02-13;0;7;0;53;24;False
2022-02-20;0;6;1;54;25;False
2022-02-27;1;6;1;49;22;False
2022-03-06;0;8;1;52;23;False
2022-03-13;0;7;1;51;23;False
2022-03-20;2;6;0;49;22;False
2022-03-27;0;6;1;51;23;False
2022-04-03;1;6;1;53;22;False
2022-04-10;0;4;0;56;19;False
2022-04-17;0;5;1;52;20;False
2022-04-24;0;7;1;46;21;False
2022-05-01;0;7;1;54;22;False
2022-05-08;0;7;0;50;23;False
2022-05-15;0;7;0;52;23;False
2022-05-22;0;6;1;48;22;False
2022-05-29;0;5;0;50;23;False
2022-06-05;1;5;3;48;25;False
2022-06-12;0;4;3;45;23;False
2022-06-19;1;5;2;47;20;False
2022-06-26;1;3;1;49;22;False
2022-07-03;2;4;1;52;23;False
2022-07-10;1;3;1;47;24;False
2022-07-17;0;4;2;48;23;False
2022-07-24;1;3;2;59;23;False
2022-07-31;0;4;1;52;20;False
2022-08-07;0;3;1;51;20;False
2022-08-14;0;3;1;50;19;False
2022-08-21;0;5;0;52;17;False
2022-08-28;0;4;1;52;19;False
2022-09-04;0;5;0;42;20;False
2022-09-11;0;5;2;50;18;False
2022-09-18;0;6;1;51;17;False
2022-09-25;1;6;0;51;17;False
2022-10-02;0;4;0;71;16;False
2022-10-09;0;6;1;52;16;False
2022-10-16;1;5;2;49;14;False
2022-10-23;1;5;1;49;13;False
2022-10-30;1;5;0;49;13;False
2022-11-06;0;7;2;43;15;False
2022-11-13;0;6;3;41;13;False
2022-11-20;0;6;1;45;16;False
2022-11-27;0;6;1;40;15;False
2022-12-04;1;5;1;40;13;False
2022-12-11;1;7;1;39;13;False
2022-12-18;0;4;1;51;13;False
2022-12-25;0;2;2;61;17;False
2023-01-01;0;4;1;54;19;False
2023-01-08;1;6;0;50;18;False
2023-01-15;0;6;0;50;18;False
2023-01-22;1;6;4;52;16;False
2023-01-29;0;6;1;55;17;False
