date;Music industry;Electric vehicles;Communism;Ireland holidays;air travel;isPartial
2022-01-02;15;26;60;55;83;False
2022-01-09;18;28;60;52;95;False
2022-01-16;18;34;52;43;71;False
2022-01-23;18;31;62;42;78;False
2022-01-30;13;29;49;41;88;False
2022-02-06;13;27;45;42;88;False
2022-02-13;18;26;51;38;89;False
2022-02-20;16;30;100;39;90;False
2022-02-27;17;30;99;36;79;False
2022-03-06;18;39;84;42;83;False
2022-03-13;18;37;66;62;83;False
2022-03-20;16;41;55;41;81;False
2022-03-27;19;34;47;43;86;False
2022-04-03;15;31;43;48;78;False
2022-04-10;14;27;40;63;68;False
2022-04-17;12;28;42;52;76;False
2022-04-24;17;28;49;60;78;False
2022-05-01;15;26;50;55;80;False
2022-05-08;17;30;48;43;82;False
2022-05-15;14;25;51;37;86;False
2022-05-22;13;31;48;55;81;False
2022-05-29;13;24;35;73;83;False
2022-06-05;16;32;49;55;92;False
2022-06-12;12;31;43;42;80;False
2022-06-19;10;34;42;38;75;False
2022-06-26;11;32;35;41;80;False
2022-07-03;13;30;41;52;85;False
2022-07-10;11;31;38;58;88;False
2022-07-17;12;24;32;35;83;False
2022-07-24;7;25;37;54;83;False
2022-07-31;14;26;36;44;75;False
2022-08-07;11;30;36;34;72;False
2022-08-14;9;26;34;33;71;False
2022-08-21;8;29;34;44;62;False
2022-08-28;11;25;35;37;68;False
2022-09-04;14;25;46;29;74;False
2022-09-11;23;25;53;33;64;False
2022-09-18;12;19;51;23;63;False
2022-09-25;18;24;51;28;63;False
2022-10-02;13;26;47;27;60;False
2022-10-09;19;24;44;30;59;False
2022-10-16;12;31;48;25;53;False
2022-10-23;13;25;46;38;49;False
2022-10-30;13;30;54;33;49;False
2022-11-06;18;28;53;23;55;False
2022-11-13;16;38;48;20;46;False
2022-11-20;13;23;44;19;57;False
2022-11-27;19;27;45;21;56;False
2022-12-04;18;23;41;24;48;False
2022-12-11;15;23;38;24;49;False
2022-12-18;11;26;31;23;46;False
2022-12-25;10;15;31;41;60;False
2023-01-01;14;25;40;70;71;False
2023-01-08;22;27;43;52;65;False
2023-01-15;16;26;46;43;64;False
2023-01-22;18;25;49;45;59;False
2023-01-29;15;27;44;55;63;False
