date;Federal Reserve;Hospitality industry;Collecting;Ofcom;air travel;isPartial
2022-01-02;6;10;78;27;54;False
2022-01-09;10;9;68;29;60;False
2022-01-16;6;7;66;28;47;False
2022-01-23;30;8;64;31;51;False
2022-01-30;7;11;65;34;58;False
2022-02-06;6;7;63;28;58;False
2022-02-13;10;8;65;29;58;False
2022-02-20;7;11;62;32;60;False
2022-02-27;7;10;100;36;52;False
2022-03-06;7;8;76;32;55;False
2022-03-13;11;8;70;33;54;False
2022-03-20;7;10;71;34;53;False
2022-03-27;6;10;67;29;56;False
2022-04-03;6;10;60;30;52;False
2022-04-10;5;7;58;24;45;False
2022-04-17;5;6;61;31;50;False
2022-04-24;4;10;54;32;51;False
2022-05-01;15;9;66;23;53;False
2022-05-08;6;8;61;28;54;False
2022-05-15;6;9;61;34;56;False
2022-05-22;6;8;58;25;53;False
2022-05-29;4;6;62;23;55;False
2022-06-05;7;6;58;31;61;False
2022-06-12;34;7;61;30;53;False
2022-06-19;6;8;62;26;49;False
2022-06-26;4;5;57;26;53;False
2022-07-03;6;7;59;29;56;False
2022-07-10;7;6;59;32;58;False
2022-07-17;6;6;56;46;55;False
2022-07-24;17;6;59;32;55;False
2022-07-31;6;5;59;28;49;False
2022-08-07;5;6;64;27;48;False
2022-08-14;6;4;56;25;47;False
2022-08-21;5;5;62;29;41;False
2022-08-28;5;6;60;22;45;False
2022-09-04;7;7;59;24;48;False
2022-09-11;5;8;70;27;42;False
2022-09-18;17;5;67;25;40;False
2022-09-25;8;9;68;26;42;False
2022-10-02;8;10;66;33;40;False
2022-10-09;8;10;71;26;38;False
2022-10-16;7;8;69;36;35;False
2022-10-23;7;8;63;27;32;False
2022-10-30;18;7;63;26;32;False
2022-11-06;8;11;59;37;36;False
2022-11-13;6;8;65;43;30;False
2022-11-20;7;8;59;28;38;False
2022-11-27;8;11;62;36;37;False
2022-12-04;9;10;59;29;31;False
2022-12-11;15;8;61;26;32;False
2022-12-18;5;4;57;28;30;False
2022-12-25;6;3;58;10;40;False
2023-01-01;6;7;64;20;47;False
2023-01-08;8;8;60;28;43;False
2023-01-15;6;8;65;36;42;False
2023-01-22;5;6;63;29;39;False
2023-01-29;13;9;62;29;42;False
