date;Fentanyl;Plymouth Argyle;weather;Kemi Badenoch;air travel;isPartial
2022-01-02;3;14;0;0;8;False
2022-01-09;4;14;0;0;8;False
2022-01-16;4;11;0;0;7;False
2022-01-23;5;11;0;0;7;False
2022-01-30;6;35;0;0;8;False
2022-02-06;4;14;0;0;8;False
2022-02-13;4;8;0;0;8;False
2022-02-20;3;11;0;0;8;False
2022-02-27;4;8;0;0;7;False
2022-03-06;4;11;0;0;8;False
2022-03-13;5;16;0;2;8;False
2022-03-20;5;16;0;0;8;False
2022-03-27;4;9;0;0;8;False
2022-04-03;0;9;0;0;7;False
2022-04-10;4;10;0;0;6;False
2022-04-17;0;17;0;0;7;False
2022-04-24;0;15;0;0;7;False
2022-05-01;4;6;0;0;8;False
2022-05-08;4;4;0;0;8;False
2022-05-15;5;4;0;0;8;False
2022-05-22;6;4;0;0;8;False
2022-05-29;4;4;0;0;8;False
2022-06-05;0;5;0;0;9;False
2022-06-12;0;4;0;0;8;False
2022-06-19;0;6;0;0;7;False
2022-06-26;0;7;0;0;8;False
2022-07-03;0;6;0;19;8;False
2022-07-10;0;10;0;100;8;False
2022-07-17;0;7;0;39;8;False
2022-07-24;0;12;0;2;8;False
2022-07-31;0;8;0;1;7;False
2022-08-07;4;13;0;1;7;False
2022-08-14;0;11;0;0;7;False
2022-08-21;0;10;0;0;6;False
2022-08-28;4;14;0;1;6;False
2022-09-04;0;7;0;9;7;False
2022-09-11;0;14;0;1;6;False
2022-09-18;0;9;0;1;6;False
2022-09-25;0;20;0;1;6;False
2022-10-02;9;20;0;1;6;False
2022-10-09;0;12;0;1;5;False
2022-10-16;0;17;0;6;5;False
2022-10-23;0;16;0;12;5;False
2022-10-30;0;26;0;2;5;False
2022-11-06;0;11;0;1;5;False
2022-11-13;0;11;0;0;4;False
2022-11-20;0;9;0;0;5;False
2022-11-27;0;10;0;1;5;False
2022-12-04;4;9;0;0;4;False
2022-12-11;0;11;0;0;5;False
2022-12-18;10;11;0;0;4;False
2022-12-25;0;21;0;0;6;False
2023-01-01;6;22;0;0;7;False
2023-01-08;0;21;0;0;6;False
2023-01-15;0;14;0;1;6;False
2023-01-22;0;11;0;1;5;False
2023-01-29;0;17;0;0;6;False
