date;nintendo;Nepal;Kirill Karabits;Chris Skidmore;air travel;isPartial
2023-01-01;100;9;0;0;3;False
2023-01-02;87;9;0;0;4;False
2023-01-03;66;8;0;0;2;False
2023-01-04;56;9;0;0;4;False
2023-01-05;53;7;0;0;3;False
2023-01-06;58;6;0;0;3;False
2023-01-07;67;7;0;0;2;False
2023-01-08;75;10;0;0;3;False
2023-01-09;43;8;0;0;2;False
2023-01-10;41;6;0;0;3;False
2023-01-11;36;7;0;0;4;False
2023-01-12;38;8;0;0;3;False
2023-01-13;45;7;0;1;2;False
2023-01-14;61;8;0;0;2;False
2023-01-15;60;87;0;0;3;False
2023-01-16;40;77;0;1;3;False
2023-01-17;36;35;0;0;2;False
2023-01-18;36;21;0;1;3;False
2023-01-19;35;15;0;1;3;False
2023-01-20;41;14;0;0;2;False
2023-01-21;61;12;0;0;3;False
2023-01-22;59;12;0;0;3;False
2023-01-23;40;10;0;0;3;False
2023-01-24;37;10;0;0;2;False
2023-01-25;37;9;0;0;3;False
2023-01-26;35;8;0;0;3;False
2023-01-27;49;9;0;0;2;False
2023-01-28;63;7;0;0;3;False
2023-01-29;60;8;0;0;2;False
2023-01-30;42;8;0;1;4;False
2023-01-31;36;10;0;0;3;False
