date;Jane Austen;Mobile phones;UK civil liberties;PFAS;air travel;isPartial
2023-01-01;19;100;0;0;26;False
2023-01-02;21;92;0;0;30;False
2023-01-03;17;83;0;0;20;False
2023-01-04;15;93;0;4;30;False
2023-01-05;17;87;0;4;24;False
2023-01-06;14;71;0;10;25;False
2023-01-07;14;77;0;3;18;False
2023-01-08;18;97;0;0;28;False
2023-01-09;13;90;0;6;17;False
2023-01-10;12;84;0;4;26;False
2023-01-11;16;90;0;0;30;False
2023-01-12;17;87;3;6;25;False
2023-01-13;13;86;0;27;20;False
2023-01-14;16;63;0;18;19;False
2023-01-15;16;79;3;0;22;False
2023-01-16;11;86;0;10;23;False
2023-01-17;12;74;0;6;19;False
2023-01-18;16;68;9;10;27;False
2023-01-19;12;81;0;6;24;False
2023-01-20;14;91;0;10;20;False
2023-01-21;12;81;0;9;21;False
2023-01-22;16;77;0;3;23;False
2023-01-23;15;84;0;7;24;False
2023-01-24;17;74;0;5;18;False
2023-01-25;14;86;0;5;25;False
2023-01-26;13;79;0;6;23;False
2023-01-27;19;86;0;4;16;False
2023-01-28;18;84;0;0;22;False
2023-01-29;21;74;2;4;20;False
2023-01-30;19;69;0;6;34;False
2023-01-31;18;87;0;3;28;False
