date;US national security;lithuania;Aged care;England netball team;air travel;isPartial
2022-01-02;1;32;1;1;28;False
2022-01-09;1;31;1;1;33;False
2022-01-16;0;29;1;4;24;False
2022-01-23;0;41;0;1;27;False
2022-01-30;0;34;2;1;30;False
2022-02-06;0;37;1;0;30;False
2022-02-13;0;42;2;0;31;False
2022-02-20;1;100;1;0;31;False
2022-02-27;0;82;1;1;27;False
2022-03-06;0;60;1;0;29;False
2022-03-13;0;46;2;0;28;False
2022-03-20;0;44;2;0;28;False
2022-03-27;1;48;2;1;29;False
2022-04-03;0;38;2;0;27;False
2022-04-10;0;37;1;1;23;False
2022-04-17;0;33;2;0;26;False
2022-04-24;0;34;2;0;27;False
2022-05-01;0;34;1;1;27;False
2022-05-08;0;64;1;0;28;False
2022-05-15;0;48;2;0;29;False
2022-05-22;0;37;2;0;28;False
2022-05-29;0;42;1;1;28;False
2022-06-05;0;47;2;1;32;False
2022-06-12;0;40;2;1;28;False
2022-06-19;0;87;2;1;26;False
2022-06-26;0;49;1;0;28;False
2022-07-03;0;42;2;0;29;False
2022-07-10;0;39;1;1;30;False
2022-07-17;0;40;2;1;29;False
2022-07-24;0;40;2;4;28;False
2022-07-31;0;37;3;10;25;False
2022-08-07;0;36;2;3;25;False
2022-08-14;0;35;1;1;24;False
2022-08-21;0;33;2;0;21;False
2022-08-28;0;36;1;0;23;False
2022-09-04;0;45;2;1;25;False
2022-09-11;0;32;2;1;22;False
2022-09-18;0;35;1;1;21;False
2022-09-25;0;34;1;0;22;False
2022-10-02;0;31;3;2;21;False
2022-10-09;0;28;1;1;20;False
2022-10-16;1;29;2;0;18;False
2022-10-23;1;26;1;1;17;False
2022-10-30;0;33;2;1;17;False
2022-11-06;0;30;1;0;19;False
2022-11-13;0;33;2;1;16;False
2022-11-20;0;30;0;1;20;False
2022-11-27;1;29;1;1;19;False
2022-12-04;0;29;1;0;16;False
2022-12-11;0;30;2;0;17;False
2022-12-18;0;34;2;1;16;False
2022-12-25;0;27;1;0;21;False
2023-01-01;0;28;1;1;24;False
2023-01-08;0;42;2;3;22;False
2023-01-15;0;40;2;2;22;False
2023-01-22;0;35;3;1;20;False
2023-01-29;0;32;2;0;22;False
