date;virgin orbit;Shakespeare's Globe;jamaica;Procter & Gamble;air travel;isPartial
2023-01-01;0;0;49;0;6;False
2023-01-02;0;0;46;0;7;False
2023-01-03;0;1;43;0;4;False
2023-01-04;0;0;60;0;7;False
2023-01-05;1;0;57;0;6;False
2023-01-06;3;0;49;0;6;False
2023-01-07;2;0;46;0;4;False
2023-01-08;6;0;53;0;6;False
2023-01-09;100;1;43;0;4;False
2023-01-10;53;0;45;1;6;False
2023-01-11;4;0;50;0;7;False
2023-01-12;2;1;36;0;6;False
2023-01-13;2;1;39;0;5;False
2023-01-14;2;0;61;0;4;False
2023-01-15;1;0;65;1;5;False
2023-01-16;1;0;37;0;5;False
2023-01-17;1;0;38;0;4;False
2023-01-18;1;1;39;0;6;False
2023-01-19;1;1;50;0;6;False
2023-01-20;0;0;49;0;5;False
2023-01-21;0;0;41;0;5;False
2023-01-22;1;0;43;0;5;False
2023-01-23;0;0;41;1;6;False
2023-01-24;0;1;38;0;4;False
2023-01-25;0;0;39;0;6;False
2023-01-26;1;0;35;0;5;False
2023-01-27;0;1;36;0;4;False
2023-01-28;0;1;37;0;5;False
2023-01-29;0;0;44;0;5;False
2023-01-30;1;0;38;0;8;False
2023-01-31;2;1;37;0;6;False
